Symbol,Date,Open,High,Low,Close,Volume
AACG,23-Mar-2020,0.9,0.9045,0.8,0.84,9000
AAL,23-Mar-2020,10.9,11.36,10.01,10.25,56427200
AAME,23-Mar-2020,2.2377,2.2377,2.2377,2.2377,200
AAOI,23-Mar-2020,7.05,7.5,6.775,6.9,959500
AAON,23-Mar-2020,46.22,48.87,44.72,47.75,311400
AAPL,23-Mar-2020,228.08,228.4997,212.61,224.37,84188200
AAWW,23-Mar-2020,23.5,24.52,22.37,24.4,1023300
AAXJ,23-Mar-2020,54.57,54.59,52.95,53.81,1296000
AAXN,23-Mar-2020,60.53,65.01,58.06,63.41,840900
ABCB,23-Mar-2020,21.05,21.42,17.89,18.94,571000
ABEO,23-Mar-2020,2.13,2.15,1.83,1.95,1204000
ABIO,23-Mar-2020,2.64,2.64,2.51,2.54,6400
ABMD,23-Mar-2020,132.39,134.74,119.0101,132.34,1296700
ABTX,23-Mar-2020,25.02,27.88,22.135,22.68,137900
ABUS,23-Mar-2020,1.46,1.67,1.4,1.65,173000
ACAD,23-Mar-2020,33.8,35.66,32.9,35,1206700
ACAM,23-Mar-2020,9.5,9.59,9.5,9.59,11400
ACAMU,23-Mar-2020,9.8,9.8,9.8,9.8,18500
ACAMW,23-Mar-2020,0.5,0.5,0.5,0.5,4300
ACBI,23-Mar-2020,9.76,9.76,8.89,9.51,96900
ACER,23-Mar-2020,1.3,1.3962,1.08,1.18,195400
ACGL,23-Mar-2020,25.67,25.67,22.54,23.26,3341100
ACGLO,23-Mar-2020,17.88,19.22,17.1831,19,111000
ACGLP,23-Mar-2020,17,18.035,16.13,17.21,103500
ACHC,23-Mar-2020,12.76,12.96,11.7,11.78,1216000
ACHV,23-Mar-2020,0.297,0.298,0.2799,0.2892,340000
ACIA,23-Mar-2020,64.22,64.91,62.615,64.5,617600
ACIU,23-Mar-2020,4.76,5.57,4.76,5.38,222900
ACIW,23-Mar-2020,22.41,22.41,20.57,21.5,1787600
ACLS,23-Mar-2020,13.97,15.4,13.71,14.98,331400
ACMR,23-Mar-2020,22.42,26.97,21.53,26.22,975200
ACNB,23-Mar-2020,24.74,24.74,21.845,24.55,35200
ACOR,23-Mar-2020,0.9474,0.9597,0.82,0.8734,837300
ACRS,23-Mar-2020,0.9027,0.93,0.85,0.9134,210300
ACRX,23-Mar-2020,0.85,0.89,0.7014,0.7611,1530900
ACST,23-Mar-2020,0.35,0.35,0.3024,0.3111,654700
ACT,23-Mar-2020,16.73,16.73,16.16,16.16,4600
ACTG,23-Mar-2020,2.3,2.37,2.15,2.25,324900
ACWI,23-Mar-2020,55.18,55.52,53.31,54.33,8156700
ACWX,23-Mar-2020,33.41,33.67,32.59,32.8,5159200
ADAP,23-Mar-2020,2.5,2.92,2.5,2.81,309800
ADBE,23-Mar-2020,296.67,312.49,287.78,307.27,6016800
ADES,23-Mar-2020,5.24,5.26,4.88,5.22,149500
ADI,23-Mar-2020,85.78,87.51,80.51,85.16,4063600
ADIL,23-Mar-2020,1.13,1.23,1.01,1.05,39900
ADILW,23-Mar-2020,0.13,0.13,0.13,0.13,0
ADMA,23-Mar-2020,2.49,3.49,2.33,3.06,14843800
ADMP,23-Mar-2020,0.35,0.37,0.32,0.3558,1018600
ADMS,23-Mar-2020,2.39,2.66,2.31,2.58,195200
ADP,23-Mar-2020,108.53,112.06,104.89,109.07,4794400
