Symbol,Date,Open,High,Low,Close,Volume
AACG,06-Jan-2020,1.51,1.51,1.36,1.43,18600
AAL,06-Jan-2020,27.19,27.4901,27.08,27.32,6108600
AAME,06-Jan-2020,2,2,1.855,1.86,2000
AAOI,06-Jan-2020,12,12.2,11.86,12.15,361700
AAON,06-Jan-2020,49.8,50.35,49.36,50.26,91700
AAPL,06-Jan-2020,293.79,299.96,292.75,299.8,29644600
AAWW,06-Jan-2020,27.07,27.57,26.825,27.43,258500
AAXJ,06-Jan-2020,73.14,73.48,73.06,73.42,413600
AAXN,06-Jan-2020,74.12,74.49,68.09,68.75,1732500
ABCB,06-Jan-2020,42.04,42.65,41.86,42.44,242400
ABEO,06-Jan-2020,2.88,2.88,2.62,2.77,2929700
ABIO,06-Jan-2020,5.57,5.8,5.48,5.63,33800
ABMD,06-Jan-2020,166.53,179.42,166.02,179.04,1506400
ABTX,06-Jan-2020,37.04,37.55,36.95,37.41,69000
ABUS,06-Jan-2020,3.09,3.66,3.05,3.18,1364700
ACAD,06-Jan-2020,39.98,42.885,39.3238,42.81,1703000
ACAM,06-Jan-2020,9.99,9.99,9.99,9.99,100000
ACAMU,06-Jan-2020,10.1789,10.1789,10.1789,10.1789,0
ACAMW,06-Jan-2020,0.7,0.7,0.7,0.7,0
ACBI,06-Jan-2020,17.86,17.98,17.62,17.69,66400
ACER,06-Jan-2020,3.6,3.95,3.59,3.69,22400
ACGL,06-Jan-2020,43.42,43.61,43.22,43.52,1272700
ACGLO,06-Jan-2020,26.18,26.22,26.1,26.16,11700
ACGLP,06-Jan-2020,25.5,25.6,25.36,25.39,93300
ACHC,06-Jan-2020,33.01,33.86,33.01,33.71,573900
ACHV,06-Jan-2020,0.56,0.6,0.5511,0.5781,4874500
ACIA,06-Jan-2020,67.93,68.22,67.93,68.11,344600
ACIU,06-Jan-2020,8.54,9,8.45,8.99,161400
ACIW,06-Jan-2020,37.76,38.5,37.57,38.44,489700
ACLS,06-Jan-2020,24.48,24.51,23.99,24.19,143400
ACMR,06-Jan-2020,18.91,21.79,18.9,21,618700
ACNB,06-Jan-2020,36.53,36.95,36.51,36.52,6800
ACOR,06-Jan-2020,2.22,2.53,2.22,2.48,5796800
ACRS,06-Jan-2020,1.84,1.9,1.76,1.87,466400
ACRX,06-Jan-2020,2.04,2.05,2,2.01,509100
ACST,06-Jan-2020,2.3,2.3,2.19,2.205,2084400
ACT,06-Jan-2020,25.16,25.1799,25.125,25.1644,1900
ACTG,06-Jan-2020,2.62,2.72,2.6,2.71,117900
ACWI,06-Jan-2020,78.93,79.58,78.9101,79.56,2297900
ACWX,06-Jan-2020,48.88,49.2,48.87,49.2,1947900
ADAP,06-Jan-2020,1.2,1.21,1.16,1.21,220700
ADBE,06-Jan-2020,328.29,333.91,328.19,333.71,1875100
ADES,06-Jan-2020,10.99,11.52,10.99,11.35,324300
ADI,06-Jan-2020,116.25,117.32,115.61,116.92,1979300
ADIL,06-Jan-2020,2.35,2.46,2.3281,2.42,12200
ADILW,06-Jan-2020,0.3899,0.3899,0.3899,0.3899,0
ADMA,06-Jan-2020,3.77,3.779,3.56,3.67,700100
ADMP,06-Jan-2020,0.85,0.99,0.8365,0.8891,2420100
ADMS,06-Jan-2020,4.1,4.19,3.97,4.14,463100
ADP,06-Jan-2020,169.08,170.34,168.825,170.19,1205900
ADPT,06-Jan-2020,29.32,29.69,28.55,29.6,872200
ADRE,06-Jan-2020,44.74,44.7644,44.5,44.7644,8600
ADRO,06-Jan-2020,1.21,1.37,1.21,1.33,1409100
ADSK,06-Jan-2020,183.78,187.25,183.16,187.12,1021900
ADTN,06-Jan-2020,9.87,10,9.825,9.98,125200
ADUS,06-Jan-2020,95.01,97.23,93.76,96.44,126600
ADVM,06-Jan-2020,11.43,11.4919,10.776,11.12,770400
ADXS,06-Jan-2020,1.14,1.17,1.01,1.07,5841600
AEGN,06-Jan-2020,22.09,22.55,21.81,22.37,76800
AEHR,06-Jan-2020,2.02,2.12,1.98,1.98,146800
AEIS,06-Jan-2020,70.55,70.55,69.585,69.71,209000
AEMD,06-Jan-2020,1.19,1.19,1.0101,1.12,589000
AERI,06-Jan-2020,23.73,24.5,23.09,24.49,672400
AESE,06-Jan-2020,2.63,2.69,2.55,2.55,7800
AEY,06-Jan-2020,2.45,2.5,2.35,2.385,14900
AEYE,06-Jan-2020,4.73,4.95,4.52,4.95,9800
AEZS,06-Jan-2020,0.9,0.9359,0.86,0.9214,73200
AFH,06-Jan-2020,0.4541,0.53,0.45,0.5125,184200
AFIN,06-Jan-2020,12.76,13.12,12.61,12.96,726000
AFINP,06-Jan-2020,25.09,25.16,25.05,25.08,110100
AFMD,06-Jan-2020,2.59,2.59,2.48,2.52,1303100
AFYA,06-Jan-2020,27.21,27.46,26.61,26.92,67700
AGBAW,06-Jan-2020,0.06,0.06,0.06,0.06,0
AGEN,06-Jan-2020,3.83,3.83,3.71,3.78,720500
AGFS,06-Jan-2020,2.63,2.78,2.55,2.78,76800
AGFSW,06-Jan-2020,0.0095,0.0095,0.0094,0.0094,6500
AGIO,06-Jan-2020,46.9,48.5358,46.11,48.49,636600
AGLE,06-Jan-2020,7.57,7.765,7.39,7.61,33600
AGMH,06-Jan-2020,16.24,16.83,16.155,16.2659,2600
AGNC,06-Jan-2020,17.75,17.77,17.69,17.73,5071300
AGNCM,06-Jan-2020,25.93,25.93,25.76,25.9,31600
AGNCN,06-Jan-2020,26.05,26.0822,26.03,26.03,8300
AGNCO,06-Jan-2020,25.8,25.85,25.65,25.68,44300
AGRX,06-Jan-2020,2.87,3.12,2.81,2.85,3484300
AGTC,06-Jan-2020,4.22,4.26,4.11,4.13,149200
AGYS,06-Jan-2020,25.67,25.95,25.5,25.71,109800
AGZD,06-Jan-2020,48.07,48.1789,48.0601,48.12,7200
AHCO,06-Jan-2020,10.63,11.07,10.43,11.05,38900
AHPI,06-Jan-2020,1.2,1.35,1.2,1.255,10700
AIA,06-Jan-2020,65.93,66.28,65.79,66.23,23800
AIH,06-Jan-2020,6.98,6.98,6.48,6.57,72600
AIHS,06-Jan-2020,0.73,0.74,0.6921,0.7048,176300
AIMC,06-Jan-2020,36.19,36.65,35.92,36.59,245900
AIMT,06-Jan-2020,34.88,35.48,34.06,34.68,1278800
AINV,06-Jan-2020,17.6,17.62,17.51,17.55,512600
AIQ,06-Jan-2020,18,18.2486,17.97,18.2297,20400
AIRG,06-Jan-2020,10.26,10.58,10.26,10.435,44600
AIRR,06-Jan-2020,28.77,29.015,28.76,29.0125,16500
AIRT,06-Jan-2020,20.4194,20.4194,20.4194,20.4194,300
AIRTP,06-Jan-2020,2.499,2.499,2.47,2.49,7300
AIRTW,06-Jan-2020,0.051,0.051,0.051,0.051,0
AKAM,06-Jan-2020,86.65,87.58,86.61,87.55,1394100
AKBA,06-Jan-2020,6.35,6.64,6.27,6.62,825800
AKCA,06-Jan-2020,16.5,17.14,16.15,16.7,264500
