Symbol,Date,Open,High,Low,Close,Volume
AACG,26-May-2020,0.88,0.9,0.8798,0.8999,8000
AAL,26-May-2020,10.27,11.28,10.25,11.14,101717000
AAME,26-May-2020,1.95,1.95,1.95,1.95,0
AAOI,26-May-2020,8.82,9.14,8.755,8.96,726000
AAON,26-May-2020,52.83,55.55,52.83,54.78,206000
AAPL,26-May-2020,323.5,324.24,316.5,316.73,31380400
AAWW,26-May-2020,40.44,40.85,38.96,39.05,527400
AAXJ,26-May-2020,64.4,64.61,63.8,63.9,1188500
AAXN,26-May-2020,75.75,76.79,74.79,75.8,503700
ABCB,26-May-2020,22.8,24.54,22.51,24.27,510600
ABEO,26-May-2020,3.34,3.34,3.02,3.05,745100
ABIO,26-May-2020,3.98,3.98,3.811,3.96,6700
ABMD,26-May-2020,210.57,214.4,205.67,209.08,855400
ABTX,26-May-2020,26.04,26.67,25.805,26.49,77300
ABUS,26-May-2020,2.28,2.293,2.16,2.21,831200
ACAD,26-May-2020,51.94,53.05,51.095,51.17,1145000
ACAM,26-May-2020,9.97,9.97,9.97,9.97,0
ACAMU,26-May-2020,10.2,10.2,10.2,10.2,0
ACAMW,26-May-2020,0.45,0.5101,0.45,0.4801,36200
ACBI,26-May-2020,11.2,11.43,11.01,11.22,165500
ACER,26-May-2020,3.55,3.55,3.3,3.32,230400
ACGL,26-May-2020,29.75,30.1,28.89,29.385,2573700
ACGLO,26-May-2020,25,25.0513,24.8,24.97,20500
ACGLP,26-May-2020,23.86,23.99,23.81,23.91,36800
ACHC,26-May-2020,28.5,29.25,28.03,28.62,538700
ACHV,26-May-2020,0.4274,0.43,0.4111,0.4199,459500
ACIA,26-May-2020,68.28,68.38,67.51,67.57,718000
ACIU,26-May-2020,7.4,7.64,7.38,7.52,121300
ACIW,26-May-2020,27.2,27.66,26.645,26.75,611300
ACLS,26-May-2020,26.62,27.04,25.71,26.71,447000
ACMR,26-May-2020,56.98,62.87,56.7923,59.2,971300
ACNB,26-May-2020,24.73,24.79,24.01,24.25,13100
ACOR,26-May-2020,0.78,0.7944,0.7511,0.7786,1671900
ACRS,26-May-2020,1.27,1.34,1.26,1.32,202700
ACRX,26-May-2020,1.58,1.7,1.54,1.64,1334300
ACST,26-May-2020,0.65,0.655,0.6226,0.6526,913600
ACT,26-May-2020,22.91,22.91,22.3701,22.39,3900
ACTG,26-May-2020,2.68,2.69,2.59,2.595,176100
ACWI,26-May-2020,71.52,71.62,70.9712,71.1,6089300
ACWX,26-May-2020,41.37,41.5,41.21,41.22,2191800
ADAP,26-May-2020,5.91,6.025,5.27,5.3,1236600
ADBE,26-May-2020,391,391.27,374.8103,376.63,3525900
ADES,26-May-2020,5.15,5.243,5.04,5.06,194600
ADI,26-May-2020,113.87,115.24,112.55,112.7,2112500
ADIL,26-May-2020,1.55,1.67,1.48,1.6,37100
ADILW,26-May-2020,0.33,0.41,0.2101,0.2102,8100
ADMA,26-May-2020,2.98,3.12,2.875,2.94,4544600
ADMP,26-May-2020,0.52,0.5294,0.4902,0.503,1553100
ADMS,26-May-2020,2.98,2.98,2.83,2.89,331000
ADP,26-May-2020,138,139.56,136.7,138.92,3080400
ADPT,26-May-2020,42,42.19,39.3,39.39,1226500
ADRE,26-May-2020,36.38,36.597,36.195,36.195,5500
ADRO,26-May-2020,3.39,3.53,3.1701,3.19,676300
ADSK,26-May-2020,199.32,203.83,198.62,199.53,1662600
ADTN,26-May-2020,11.64,11.72,11.06,11.14,288600
ADUS,26-May-2020,95.75,97.04,93.91,96.4,155700
ADVM,26-May-2020,20.8,22.19,20.3,20.44,1034900
ADXS,26-May-2020,0.72,0.73,0.6975,0.6975,960500
AEGN,26-May-2020,14.4,15.23,14.4,15.17,138800
AEHR,26-May-2020,1.71,1.71,1.66,1.67,30000
AEIS,26-May-2020,64.94,65.88,63.43,65.09,244000
AEMD,26-May-2020,1.3,1.3599,1.255,1.31,235800
AERI,26-May-2020,16.09,16.09,15.02,15.09,1043600
AESE,26-May-2020,1.8,1.8499,1.68,1.69,62400
AEY,26-May-2020,1.9,1.93,1.83,1.88,227300
AEYE,26-May-2020,7.5,7.7499,7,7.04,98300
AEZS,26-May-2020,1.2,1.2,1.12,1.13,327600
AFH,26-May-2020,0.39,0.42,0.36,0.3934,894300
AFIN,26-May-2020,7.64,8.1,7.5,7.99,412300
AFINP,26-May-2020,19.32,19.7106,19.32,19.6,98300
AFMD,26-May-2020,3.12,3.23,2.95,3.11,1435200
AFYA,26-May-2020,17.52,17.87,16.85,17.25,552800
AGBA,26-May-2020,10.1,10.1,10.1,10.1,0
AGBAW,26-May-2020,0.08,0.08,0.08,0.08,100
AGEN,26-May-2020,2.58,2.65,2.505,2.54,3127600
AGFS,26-May-2020,3.2,3.47,3.2,3.33,214300
AGFSW,26-May-2020,0.018,0.018,0.0094,0.016,125200
AGIO,26-May-2020,53.11,54.525,51.81,52.45,780400
AGLE,26-May-2020,9.2,9.29,8.72,9.06,377900
AGMH,26-May-2020,20.7,21.21,20.7,21.06,2300
AGNC,26-May-2020,13.47,13.589,13.33,13.42,9789700
AGNCM,26-May-2020,22.72,22.9,22.56,22.56,24100
AGNCN,26-May-2020,23.3,23.41,23.07,23.07,32300
AGNCO,26-May-2020,22.2,22.53,22.2,22.36,22400
AGNCP,26-May-2020,21.28,21.56,21.28,21.365,43000
AGRX,26-May-2020,2.89,2.95,2.83,2.89,1719200
AGTC,26-May-2020,4.71,5.09,4.71,5.02,630100
AGYS,26-May-2020,19.94,21,19.9,20.07,251600
AGZD,26-May-2020,46.57,46.66,46.4,46.66,5100
AHCO,26-May-2020,16.8,17.9973,16.12,16.5,421900
AHPI,26-May-2020,10.21,10.2869,9.5801,9.94,214700
AIA,26-May-2020,59.35,59.485,58.78,58.94,58000
AIH,26-May-2020,8.16,8.2,8,8.04,49700
AIHS,26-May-2020,0.38,0.41,0.365,0.3901,199700
AIKI,26-May-2020,0.7,0.7395,0.7,0.73,1359400
AIMC,26-May-2020,29.83,30.71,29.83,30.06,324200
AIMT,26-May-2020,17.5,17.9,17.07,17.14,1190800
AINV,26-May-2020,9.84,10.07,9.74,9.93,1030400
AIQ,26-May-2020,19.65,19.65,19.0201,19.06,29200
AIRG,26-May-2020,8.23,9.07,8.21,8.56,65700
AIRR,26-May-2020,22.68,23.1903,22.68,23.1456,9100
AIRT,26-May-2020,11.11,11.75,11,11.49,2800
AIRTP,26-May-2020,20.5,21.5,19.5,21,1600
AIRTW,26-May-2020,0.055,0.07,0.035,0.04,3000
AKAM,26-May-2020,102,102.17,99.83,100.08,1523300
AKBA,26-May-2020,12.48,12.725,12.13,12.15,990600
AKCA,26-May-2020,14.8,16.12,14.61,14.94,260500
AKER,26-May-2020,3.3,3.77,3.15,3.5,1346200
AKRO,26-May-2020,25.14,25.35,24.03,24.41,182400
AKTS,26-May-2020,8.41,8.5,8.21,8.225,532500
AKTX,26-May-2020,2.11,2.15,2.01,2.1,250400
ALAC,26-May-2020,10.6,10.6,10.6,10.6,0
ALACR,26-May-2020,0.1399,0.1498,0.1201,0.136,33200
ALACW,26-May-2020,0.065,0.0798,0.05,0.0697,18000
ALBO,26-May-2020,26.66,27.43,25.36,27.1,83700
ALCO,26-May-2020,32.12,32.33,29.79,30.5,105200
ALDX,26-May-2020,4.4,4.5,4.05,4.11,819600
ALEC,26-May-2020,34.69,34.89,31.29,31.64,612900
ALGN,26-May-2020,252.3,255.65,244.65,247.9,1220900
ALGT,26-May-2020,92.97,101.78,92.8,101.29,496000
ALIM,26-May-2020,5.38,5.46,5.26,5.39,3000
ALJJ,26-May-2020,0.4482,0.565,0.4211,0.528,1248400
ALKS,26-May-2020,17.11,17.29,16.13,16.16,1542500
ALLK,26-May-2020,77,77,67.685,72.54,643900
ALLO,26-May-2020,54.5,55,49.01,49.35,1305400
ALLT,26-May-2020,11.95,11.95,11.16,11.32,240600
ALNA,26-May-2020,1.99,1.99,1.85,1.87,160800
ALNY,26-May-2020,141.06,144.5,135.8,136.43,806100
ALOT,26-May-2020,6.42,6.5514,6.11,6.23,68200
ALPN,26-May-2020,3.41,3.55,3.4057,3.41,52300
ALRM,26-May-2020,47.55,49.2,47.245,48.89,2738500
ALRN,26-May-2020,0.84,0.99,0.84,0.9135,1007200
ALRS,26-May-2020,18.08,18.16,17.77,18,31000
ALSK,26-May-2020,2.75,2.75,2.6,2.62,425800
ALT,26-May-2020,7.66,10.68,7.46,8.42,36457000
ALTM,26-May-2020,0.6195,0.6599,0.6012,0.6408,619100
ALTR,26-May-2020,37.1,38.1,36.63,37.69,274200
ALTY,26-May-2020,10.78,10.81,10.68,10.745,12900
ALXN,26-May-2020,102.86,104.88,102.01,102.8,2125000
ALYA,26-May-2020,1.7,1.7,1.6701,1.69,3500
AMAG,26-May-2020,8.21,8.39,7.81,7.85,526800
AMAL,26-May-2020,10.85,11.41,10.85,11.15,40000
AMAT,26-May-2020,56.31,56.71,54.96,55.14,7757500
AMBA,26-May-2020,58.3,58.99,56.08,56.3,512800
AMCA,26-May-2020,26,26.1901,26,26.021,6100
AMCI,26-May-2020,10.3,10.3,10.3,10.3,0
AMCIU,26-May-2020,10.69,10.69,10.6,10.6,500
AMCIW,26-May-2020,0.47,0.4799,0.47,0.47,600
AMCX,26-May-2020,30.38,30.38,29.255,29.91,887300
AMD,26-May-2020,56.01,56.08,53.02,53.19,51618800
AMED,26-May-2020,197.67,198.48,187.33,188.32,267500
AMEH,26-May-2020,17.87,18.22,17.62,17.85,122800
AMGN,26-May-2020,227.53,228.35,221.73,222.4,2397700
AMHC,26-May-2020,9.7035,9.7035,9.7035,9.7035,0
AMHCU,26-May-2020,9.95,9.95,9.95,9.95,6500
AMHCW,26-May-2020,0.65,0.65,0.65,0.65,0
AMKR,26-May-2020,10.24,10.572,10.08,10.41,1295100
AMNB,26-May-2020,24.96,26.36,24.8301,25.32,17500
AMOT,26-May-2020,35.82,37.215,35.04,35.55,70700
AMPH,26-May-2020,18.96,18.99,18.42,18.49,387100
AMRB,26-May-2020,9.95,9.95,9.95,9.95,0
AMRH,26-May-2020,1.43,1.58,1.43,1.49,167900
AMRHW,26-May-2020,0.0332,0.0412,0.033,0.035,3900
AMRK,26-May-2020,17.24,17.29,16.5857,16.81,23900
AMRN,26-May-2020,7.29,7.34,7,7.02,7284000
AMRS,26-May-2020,3.61,3.69,3.52,3.56,1540900
AMSC,26-May-2020,6.89,7.03,6.76,6.865,183400
AMSF,26-May-2020,64.3,64.63,62.39,62.71,165000
AMSWA,26-May-2020,18,18.18,17.87,18.15,189000
AMTB,26-May-2020,12.25,13.16,12.115,12.49,115800
AMTBB,26-May-2020,9.43,9.45,8.6258,8.6258,1800
AMTD,26-May-2020,35.67,36.47,35.29,36,5368500
AMTX,26-May-2020,0.89,0.91,0.8026,0.85,166600
AMWD,26-May-2020,63.96,68.81,58.37,59.2,296100
AMZN,26-May-2020,2458,2462,2414.06,2421.86,3568100
ANAB,26-May-2020,20.43,20.8493,19.47,19.52,359700
ANAT,26-May-2020,70.92,73.95,70.92,73.25,51800
ANCN,26-May-2020,1.23,1.23,1.06,1.14,21300
ANDA,26-May-2020,10.18,10.18,10.18,10.18,0
ANDAR,26-May-2020,0.15,0.15,0.15,0.15,0
ANDAW,26-May-2020,0.1,0.1,0.1,0.1,0
ANDE,26-May-2020,12.46,12.99,12.33,12.86,415000
ANGI,26-May-2020,10.8,11.105,10.69,10.72,1445000
ANGL,26-May-2020,27.72,28.02,27.6,27.86,1737000
ANGO,26-May-2020,11.44,11.48,11.02,11.21,168200
ANIK,26-May-2020,34.21,34.48,33.41,33.59,222400
ANIP,26-May-2020,32.18,32.76,31.27,31.39,184400
ANIX,26-May-2020,2.29,2.48,2.22,2.36,643500
ANPC,26-May-2020,7.7,7.8386,7.61,7.7,4700
ANSS,26-May-2020,274.39,275,268.71,268.97,526500
ANTE,26-May-2020,0.67,0.7199,0.66,0.6982,63600
ANY,26-May-2020,2.41,2.47,2.31,2.36,282500
AOSL,26-May-2020,10.56,11.17,10.56,11.1,132500
APDN,26-May-2020,11.07,11.79,10.86,11.78,474200
APEI,26-May-2020,33.22,33.57,32.47,32.62,81900
APEN,26-May-2020,2.29,2.46,2.02,2.063,31400
APEX,26-May-2020,0.5,0.565,0.4901,0.5138,209600
APLS,26-May-2020,35.72,36,33.9,33.94,743200
APLT,26-May-2020,49.37,51.99,48.06,48.29,118700
APM,26-May-2020,3.11,3.15,3.05,3.07,25600
APOG,26-May-2020,20.74,21.33,20.36,20.7,419700
APOP,26-May-2020,2.9,3.2,2.8742,2.99,417100
APOPW,26-May-2020,0.1399,0.1399,0.0995,0.0998,27900
APPF,26-May-2020,144.74,156.67,142.76,155.8,334300
APPN,26-May-2020,63.71,64.72,62.15,62.44,1096100
APPS,26-May-2020,5.97,6.14,5.85,6.11,1785600
APRE,26-May-2020,30.11,30.49,25.25,25.47,248600
APTO,26-May-2020,7.7,7.89,7.5,7.5,430400
APTX,26-May-2020,4.4,4.56,4.12,4.15,659100
APVO,26-May-2020,6.77,6.9701,6.6,6.7,84300
APWC,26-May-2020,0.99,0.99,0.9502,0.96,7000
APXT,26-May-2020,9.76,9.84,9.76,9.76,500
APXTU,26-May-2020,10.39,10.39,10.39,10.39,0
APXTW,26-May-2020,0.99,0.99,0.99,0.99,0
APYX,26-May-2020,4.77,4.9,4.59,4.68,138200
AQB,26-May-2020,2.8,3,2.7,2.91,180900
AQMS,26-May-2020,0.97,0.97,0.87,0.899,400600
AQST,26-May-2020,5.75,5.825,5.02,5.16,2240000
ARAV,26-May-2020,12.9,13.24,12.5,12.72,139700
ARAY,26-May-2020,2.27,2.27,2.065,2.12,588400
ARCB,26-May-2020,22.1,22.5,21.56,21.94,128400
ARCC,26-May-2020,15.16,15.59,15.095,15.335,3916800
ARCE,26-May-2020,52.51,52.81,49.81,50.33,387300
ARCT,26-May-2020,60.79,60.84,53.5508,54.3,525700
ARDS,26-May-2020,8.5,8.5,8.026,8.4,1500
ARDX,26-May-2020,8.1,8.33,7.65,7.67,669100
AREC,26-May-2020,0.96,0.96,0.94,0.94,21100
ARGX,26-May-2020,201.14,218.19,199.75,212.12,1403600
ARKR,26-May-2020,12.61,12.61,12.05,12.49,5000
ARLP,26-May-2020,3.17,3.3,3.11,3.13,699900
ARNA,26-May-2020,60,61.08,56.58,56.91,782700
AROW,26-May-2020,28.68,28.9,28.18,28.4,31100
ARPO,26-May-2020,0.79,0.79,0.751,0.79,551900
ARQT,26-May-2020,30.12,31.76,29.51,29.95,220600
ARTL,26-May-2020,1.3,1.355,1.16,1.32,92600
ARTLW,26-May-2020,0.2,0.2,0.185,0.19,15400
ARTNA,26-May-2020,35,35,34.45,34.53,29300
ARTW,26-May-2020,2.04,2.04,1.9,2.02,17100
ARVN,26-May-2020,45.26,47.33,44.31,44.42,368000
ARWR,26-May-2020,36.9,36.9572,33.55,33.71,1116600
ARYA,26-May-2020,11.51,11.51,10.975,11,52000
ARYAU,26-May-2020,12.1997,12.2,11.9775,12.19,17400
ARYAW,26-May-2020,2.38,2.75,2.3,2.36,15900
ASET,26-May-2020,25.44,25.48,25.42,25.42,600
ASFI,26-May-2020,12.65,12.65,12.3,12.41,47900
ASLN,26-May-2020,1.84,1.85,1.72,1.76,55700
ASMB,26-May-2020,21.48,21.59,20.09,20.15,156000
ASML,26-May-2020,322.46,325.38,319.38,319.86,540400
ASNA,26-May-2020,1.3,1.38,1.21,1.345,961600
ASND,26-May-2020,145.24,147.22,144.35,146.11,147600
ASPS,26-May-2020,14.54,15.71,13.47,15.41,689900
ASPU,26-May-2020,8.27,8.37,8.105,8.26,61900
ASRT,26-May-2020,0.81,0.8389,0.795,0.8226,770700
ASRV,26-May-2020,2.96,3.0187,2.9,2.97,12700
ASRVP,26-May-2020,26.5,26.5,26.5,26.5,0
ASTC,26-May-2020,2.87,2.9,2.7301,2.8,89400
ASTE,26-May-2020,39.6,42.06,39.6,41.39,162000
ASUR,26-May-2020,6.7,6.7899,6.17,6.28,165000
ASYS,26-May-2020,5.28,5.28,5.07,5.13,23000
ATAX,26-May-2020,4.42,4.844,4.4,4.72,449400
ATCX,26-May-2020,10.25,11.1,10.25,10.56,52100
