Symbol,Date,Open,High,Low,Close,Volume
AACG,19-Mar-2020,0.72,0.7577,0.7,0.735,7800
AAL,19-Mar-2020,11.6,12.16,10.01,10.29,71584500
AAME,19-Mar-2020,2.435,2.435,2.4,2.4,300
AAOI,19-Mar-2020,5.51,6.6,5.448,6.55,1028700
AAON,19-Mar-2020,47.57,53,45.97,49.17,570900
AAPL,19-Mar-2020,247.38,252.84,242.61,244.78,67964200
AAWW,19-Mar-2020,19.55,22.41,18.01,21.89,1168400
AAXJ,19-Mar-2020,53.91,55,53.13,54.01,2132200
AAXN,19-Mar-2020,52.89,64.2514,52.2397,62.01,1219100
ABCB,19-Mar-2020,20.03,23.285,18.56,22.6,787200
ABEO,19-Mar-2020,1.71,1.98,1.71,1.78,1162000
ABIO,19-Mar-2020,2.21,2.5824,2.21,2.5824,11300
ABMD,19-Mar-2020,142.41,145.95,135.4602,140.51,950500
ABTX,19-Mar-2020,24.94,27.76,23.85,27.14,148800
ABUS,19-Mar-2020,1.21,1.8599,1.2,1.75,1371300
ACAD,19-Mar-2020,33.54,35.32,32.1,34.76,1493500
ACAM,19-Mar-2020,9.55,9.74,9.5,9.52,1437200
ACAMU,19-Mar-2020,9.8,9.8,9.8,9.8,0
ACAMW,19-Mar-2020,0.65,0.65,0.65,0.65,0
ACBI,19-Mar-2020,9.92,11.26,9.5601,10.96,141400
ACER,19-Mar-2020,1.85,1.85,1.11,1.39,287000
ACGL,19-Mar-2020,27,28.6,26.525,27.06,3775100
ACGLO,19-Mar-2020,17.33,18,15.25,16.81,147500
ACGLP,19-Mar-2020,17.7,17.7,16.26,16.3999,152500
ACHC,19-Mar-2020,11.82,14.99,11.22,14.68,1739700
ACHV,19-Mar-2020,0.31,0.34,0.28,0.2987,1222200
ACIA,19-Mar-2020,61.87,64.24,60.9,63.5,714900
ACIU,19-Mar-2020,4.32,5.0693,4.32,4.68,168100
ACIW,19-Mar-2020,21.19,24.58,20.03,23.87,1452000
ACLS,19-Mar-2020,13.07,15.82,12.99,13.42,468300
ACMR,19-Mar-2020,21.95,21.95,18.57,20.5,1269400
ACNB,19-Mar-2020,20.11,24.17,20.11,23.92,30100
ACOR,19-Mar-2020,0.77,0.89,0.75,0.85,854600
