Symbol,Date,Open,High,Low,Close,Volume
AACG,15-May-2020,0.82,0.85,0.7,0.7136,32700
AAL,15-May-2020,8.85,9.36,8.76,9.04,39560500
AAME,15-May-2020,1.87,1.87,1.87,1.87,0
AAOI,15-May-2020,8.31,8.3999,8.09,8.15,556100
AAON,15-May-2020,47.55,47.87,46.1144,47.75,263400
AAPL,15-May-2020,300.35,307.9,300.21,307.71,41587000
AAWW,15-May-2020,37.15,37.34,35.36,35.47,511200
AAXJ,15-May-2020,63.04,63.36,62.85,63.21,604400
AAXN,15-May-2020,75.4,77.75,73.62,73.91,580600
ABCB,15-May-2020,18.78,19.55,18.386,19.36,869500
ABEO,15-May-2020,3.16,3.18,3,3.05,1311200
ABIO,15-May-2020,3.84,3.84,3.63,3.77,8300
ABMD,15-May-2020,183.15,187.58,182.018,184.92,276000
ABTX,15-May-2020,22.61,22.88,21.69,22.35,638300
ABUS,15-May-2020,1.86,2.19,1.86,2.1,1981700
ACAD,15-May-2020,47.45,50.85,46.99,50.83,1280800
ACAM,15-May-2020,9.89,10.14,9.89,10.05,10000
ACAMU,15-May-2020,10.03,10.1,10.03,10.05,4700
ACAMW,15-May-2020,0.45,0.45,0.45,0.45,0
ACBI,15-May-2020,9.92,10.095,9.56,9.95,76100
ACER,15-May-2020,3.43,3.46,3.1,3.28,141900
ACGL,15-May-2020,22.7,23.04,22.22,22.98,2631400
ACGLO,15-May-2020,24.25,24.25,24.01,24.06,12100
ACGLP,15-May-2020,23.2,23.45,23.02,23.03,44600
ACHC,15-May-2020,24.1,24.84,24.085,24.72,552700
ACHV,15-May-2020,0.385,0.385,0.3599,0.365,856300
ACIA,15-May-2020,67.25,67.44,66.62,67.26,1669600
ACIU,15-May-2020,7.21,7.45,7.0797,7.45,132900
ACIW,15-May-2020,23.82,24.65,23.52,24.34,1029000
ACLS,15-May-2020,24.61,24.61,23.31,23.52,354200
ACMR,15-May-2020,57,59.7494,55.46,58.71,583500
ACNB,15-May-2020,21.64,22.15,21,21.22,21400
ACOR,15-May-2020,0.76,0.7863,0.725,0.784,1461400
ACRS,15-May-2020,1.31,1.42,1.24,1.29,166600
ACRX,15-May-2020,1.45,1.48,1.35,1.4,754200
ACST,15-May-2020,0.61,0.67,0.6001,0.6251,592400
