Symbol,Date,Open,High,Low,Close,Volume
AACG,29-Apr-2020,0.74,0.742,0.71,0.72,17100
AAL,29-Apr-2020,12.1,12.89,12.02,12.63,113669400
AAME,29-Apr-2020,1.61,1.7828,1.61,1.75,10200
AAOI,29-Apr-2020,10,11.17,9.94,10.98,868800
AAON,29-Apr-2020,49.2,50.46,47.18,48.53,496900
AAPL,29-Apr-2020,284.73,289.67,283.89,287.73,34320200
AAWW,29-Apr-2020,33,35.64,32.13,35.1,1271900
AAXJ,29-Apr-2020,64.68,65.32,64.56,65.2,2189400
AAXN,29-Apr-2020,77.47,77.47,73.9075,75.24,747900
ABCB,29-Apr-2020,26.12,28.08,25.72,26.85,565000
ABEO,29-Apr-2020,2.59,2.59,2.44,2.56,1119300
ABIO,29-Apr-2020,3.46,3.78,3.46,3.69,13600
ABMD,29-Apr-2020,165.9,171.005,164.75,169.28,838500
ABTX,29-Apr-2020,26.48,28,24.8269,27.91,116100
ABUS,29-Apr-2020,1.21,1.24,1.0902,1.16,760100
ACAD,29-Apr-2020,51.5,51.67,50.14,50.76,1092400
ACAM,29-Apr-2020,9.97,9.97,9.97,9.97,0
ACAMU,29-Apr-2020,10.25,10.25,10.25,10.25,0
ACAMW,29-Apr-2020,0.5,0.5,0.5,0.5,0
ACBI,29-Apr-2020,13.34,13.98,12.86,13.46,82800
ACER,29-Apr-2020,2.2,2.55,2.1505,2.5,91400
ACGL,29-Apr-2020,25.52,26,25.09,25.58,1735500
ACGLO,29-Apr-2020,24.83,25,24.6345,24.95,26500
ACGLP,29-Apr-2020,24.17,24.32,24.1,24.3,40600
ACHC,29-Apr-2020,24.83,25.47,24.06,24.7,1819700
ACHV,29-Apr-2020,0.44,0.44,0.4011,0.4199,523400
ACIA,29-Apr-2020,68.35,68.37,67.93,68.04,421600
ACIU,29-Apr-2020,7.31,7.525,7.2,7.35,109800
ACIW,29-Apr-2020,27.43,28.395,26.91,28.06,1253500
ACLS,29-Apr-2020,24.99,26.07,24.83,25.82,390300
ACMR,29-Apr-2020,39.41,42,39.19,41.44,379700
ACNB,29-Apr-2020,28.06,30.805,27.01,28.83,18800
ACOR,29-Apr-2020,1.04,1.04,0.9509,1.04,1202200
ACRS,29-Apr-2020,1.27,1.4,1.26,1.38,339400
ACRX,29-Apr-2020,1.53,1.59,1.49,1.58,1042300
ACST,29-Apr-2020,0.54,0.5945,0.5301,0.5945,1491500
ACT,29-Apr-2020,22,22.32,21.93,22.1858,7400
ACTG,29-Apr-2020,2.71,2.73,2.63,2.63,136000
ACWI,29-Apr-2020,69.3,70.065,69.12,69.8,5434000
ACWX,29-Apr-2020,40.67,41.04,40.56,40.89,2021900
ADAP,29-Apr-2020,3.55,3.87,3.4,3.83,358100
ADBE,29-Apr-2020,339.53,351.25,335.44,349.17,5006400
ADES,29-Apr-2020,7.5,7.73,7.3064,7.55,165600
ADI,29-Apr-2020,109.34,114.06,109.2,113.34,2544200
ADIL,29-Apr-2020,1.5,1.6,1.5,1.5201,20100
ADILW,29-Apr-2020,0.37,0.37,0.37,0.37,0
ADMA,29-Apr-2020,3,3.11,2.87,3.09,1965000
ADMP,29-Apr-2020,0.46,0.4999,0.4403,0.49,2209600
ADMS,29-Apr-2020,3.32,3.46,3.24,3.4,223300
ADP,29-Apr-2020,146.76,146.76,141.6,145.84,2644200
ADPT,29-Apr-2020,32.47,33.35,30.6,32.52,1004400
ADRE,29-Apr-2020,36.36,37.17,36.36,37.1389,5500
ADRO,29-Apr-2020,3.1,3.1,2.88,2.94,478100
ADSK,29-Apr-2020,180.61,189.86,180,187.9,1559200
ADTN,29-Apr-2020,10.32,10.81,10.2,10.67,421800
ADUS,29-Apr-2020,80.56,83.7,79.235,83.08,149800
ADVM,29-Apr-2020,12.54,13.25,12.15,13.06,1042100
ADXN,29-Apr-2020,7.46,7.46,7.46,7.46,0
ADXS,29-Apr-2020,0.74,0.7489,0.68,0.7,1660900
AEGN,29-Apr-2020,15.95,16.73,15.63,16.33,218800
AEHR,29-Apr-2020,1.79,1.79,1.73,1.76,67200
AEIS,29-Apr-2020,53.94,60.19,53.17,59.61,402500
AEMD,29-Apr-2020,1.43,1.46,1.39,1.43,212800
AERI,29-Apr-2020,14.1,15.47,13.97,15.34,1308300
AESE,29-Apr-2020,1.99,1.99,1.88,1.91,43800
AEY,29-Apr-2020,2.37,2.4881,2.26,2.38,52000
AEYE,29-Apr-2020,7.1807,7.8,7.1807,7.67,20300
AEZS,29-Apr-2020,0.79,0.82,0.772,0.81,172800
AFH,29-Apr-2020,0.5,0.5,0.4311,0.4452,155800
AFIN,29-Apr-2020,7.76,8.73,7.5,8.61,1234800
AFINP,29-Apr-2020,19.08,19.65,19.03,19.61,49500
AFMD,29-Apr-2020,2.33,2.33,2.13,2.2,690600
AFYA,29-Apr-2020,21.25,22.39,21.25,21.87,448500
AGBA,29-Apr-2020,10.2209,10.2209,10.2209,10.2209,0
AGBAW,29-Apr-2020,0.05,0.05,0.05,0.05,66900
AGEN,29-Apr-2020,2.82,2.82,2.67,2.74,1857100
AGFS,29-Apr-2020,1.95,2.08,1.91,1.99,98200
AGFSW,29-Apr-2020,0.008,0.008,0.008,0.008,5300
AGIO,29-Apr-2020,45.42,45.42,43.41,43.55,670000
AGLE,29-Apr-2020,6.67,7.77,6.6,7.56,369100
AGMH,29-Apr-2020,17.81,18.25,17.81,18.25,2900
AGNC,29-Apr-2020,13.03,13.055,12.55,12.74,11458000
AGNCM,29-Apr-2020,21.91,22.3,21.65,22.3,90000
AGNCN,29-Apr-2020,23.25,23.25,22.87,23.15,112700
AGNCO,29-Apr-2020,21.8876,22.28,21.8876,22.23,153700
AGNCP,29-Apr-2020,21.29,21.59,20.97,21.51,261000
AGRX,29-Apr-2020,2.62,2.64,2.5,2.53,1649900
AGTC,29-Apr-2020,4,4.2,3.83,3.86,261300
AGYS,29-Apr-2020,19.53,21.06,18.93,20.12,474400
AGZD,29-Apr-2020,46.64,46.6885,46.33,46.46,6200
AHCO,29-Apr-2020,16.07,16.64,16.07,16.18,65600
AHPI,29-Apr-2020,11,11.13,10.25,10.71,201000
AIA,29-Apr-2020,60.35,60.69,60.16,60.69,91900
AIH,29-Apr-2020,8.45,8.9,8.18,8.35,209700
AIHS,29-Apr-2020,0.4034,0.418,0.3723,0.381,60800
AIKI,29-Apr-2020,0.7203,0.77,0.7203,0.735,1551700
AIMC,29-Apr-2020,24.48,26.98,23.92,26.86,743800
AIMT,29-Apr-2020,17.65,18.35,17.36,18.18,2163300
AINV,29-Apr-2020,8.53,9.19,8.52,9.12,666900
AIQ,29-Apr-2020,17.73,18.09,17.65,18.0009,14600
AIRG,29-Apr-2020,8.66,9.04,8.53,8.58,91400
AIRR,29-Apr-2020,22.6882,23.37,22.52,23.062,10700
AIRT,29-Apr-2020,12.25,12.75,12.0516,12.65,4200
AIRTP,29-Apr-2020,22.73,22.73,22.73,22.73,0
AIRTW,29-Apr-2020,0.09,0.09,0.07,0.09,9600
AKAM,29-Apr-2020,98.06,98.51,92.79,97.87,10771600
AKBA,29-Apr-2020,8.27,8.7,8.1,8.6,1070800
AKCA,29-Apr-2020,17.84,18.14,17.35,17.85,198600
AKER,29-Apr-2020,3.69,3.8,3.5241,3.6,384500
AKRO,29-Apr-2020,21.38,22.5,20.65,21.5,178500
AKTS,29-Apr-2020,8.8,9.25,8.6133,8.94,1162400
AKTX,29-Apr-2020,1.86,1.9802,1.76,1.9577,299400
ALAC,29-Apr-2020,10.608,10.608,10.608,10.608,94100
ALACR,29-Apr-2020,0.1,0.1,0.1,0.1,0
ALACW,29-Apr-2020,0.031,0.031,0.031,0.031,300
ALBO,29-Apr-2020,22.1,24.77,21.91,23.08,90700
ALCO,29-Apr-2020,31.1,33.09,30.93,32.23,17900
ALDX,29-Apr-2020,3.08,3.54,3.0561,3.31,401800
ALEC,29-Apr-2020,26.75,28.37,25.97,28.14,333000
ALGN,29-Apr-2020,206.41,227.44,205.6,220.58,2182300
ALGT,29-Apr-2020,80.91,84.88,80.2,83.16,416000
ALIM,29-Apr-2020,5.29,5.5,4.9701,5.09,25500
ALJJ,29-Apr-2020,0.5079,0.7075,0.5036,0.515,366900
ALKS,29-Apr-2020,16.41,16.85,14.26,14.395,4583200
ALLK,29-Apr-2020,65.8,67.07,62.34,65.93,194800
ALLO,29-Apr-2020,27.21,28.64,26.11,28.2,1076300
ALLT,29-Apr-2020,11.1,11.62,10.96,11.55,100500
ALNA,29-Apr-2020,1.79,1.8,1.65,1.69,1181900
ALNY,29-Apr-2020,140.01,141.7552,132.91,135.81,651200
ALOT,29-Apr-2020,6.59,7.45,6.5681,7.245,86600
ALPN,29-Apr-2020,2.97,3,2.88,3,4700
ALRM,29-Apr-2020,44.83,45.87,44.33,45.15,392400
ALRN,29-Apr-2020,0.58,0.59,0.53,0.5535,421700
ALRS,29-Apr-2020,16.98,17.88,16.98,17.32,8100
ALSK,29-Apr-2020,1.97,2.05,1.955,2.03,269000
ALT,29-Apr-2020,3.16,3.16,2.97,3.04,568100
ALTM,29-Apr-2020,0.76,0.8321,0.7495,0.8068,499200
ALTR,29-Apr-2020,31.89,33.33,31.355,33,325400
ALTY,29-Apr-2020,10.09,10.41,10.0364,10.33,10700
ALXN,29-Apr-2020,108.58,109.89,107.0442,108.45,1621300
ALYA,29-Apr-2020,1.74,1.79,1.72,1.79,17700
AMAG,29-Apr-2020,8.48,8.48,7.81,8.34,608300
AMAL,29-Apr-2020,11.01,11.93,10.9,11.75,57500
AMAT,29-Apr-2020,51.83,54.645,51.42,54.34,8946200
AMBA,29-Apr-2020,54,56.4,53.65,55.72,478800
AMCA,29-Apr-2020,26.09,26.09,25.74,25.8888,800
AMCI,29-Apr-2020,10.15,10.2,10.15,10.17,1200
AMCIU,29-Apr-2020,10.53,10.53,10.53,10.53,2100
AMCIW,29-Apr-2020,0.15,0.19,0.1301,0.18,358200
AMCX,29-Apr-2020,25.33,26.75,25.305,26.67,952800
AMD,29-Apr-2020,54.53,54.86,52.74,53.66,110800800
AMED,29-Apr-2020,193.7,194.26,187.37,189.95,285900
AMEH,29-Apr-2020,15.72,16.25,15.49,15.95,67200
AMGN,29-Apr-2020,238.9,239.31,235.24,235.69,3365300
AMHC,29-Apr-2020,9.7,9.7,9.7,9.7,0
AMHCU,29-Apr-2020,9.9365,9.9365,9.9365,9.9365,500
AMHCW,29-Apr-2020,0.5,0.5,0.5,0.5,0
AMKR,29-Apr-2020,9.66,10.8,9.61,10.52,2427400
AMNB,29-Apr-2020,27.63,31.3,26.51,29.44,68500
AMOT,29-Apr-2020,30.9,32.58,30.679,31.98,69100
AMPH,29-Apr-2020,17.51,17.82,17.07,17.435,262200
AMRB,29-Apr-2020,9.3,9.93,9.3,9.62,4000
AMRH,29-Apr-2020,0.95,0.96,0.9288,0.95,21600
AMRHW,29-Apr-2020,0.038,0.0381,0.038,0.038,1600
AMRK,29-Apr-2020,14.99,15.95,14.4613,14.745,34300
AMRN,29-Apr-2020,8.11,8.46,7.84,8.26,14093200
AMRS,29-Apr-2020,2.93,2.98,2.8,2.84,1282800
AMSC,29-Apr-2020,5.7,6.15,5.63,5.9,272700
AMSF,29-Apr-2020,65.61,67.76,64.51,66.2,112500
AMSWA,29-Apr-2020,17.04,18.049,16.737,16.84,246900
AMTB,29-Apr-2020,14.25,14.73,13.0544,14.49,81900
AMTBB,29-Apr-2020,9.4021,9.4021,9.25,9.4,3700
AMTD,29-Apr-2020,39.59,40.72,39.45,40.38,4734100
AMTX,29-Apr-2020,0.58,0.6199,0.5701,0.6199,78500
AMWD,29-Apr-2020,51.5,54.95,50.55,53.5,341000
AMZN,29-Apr-2020,2330.01,2391.89,2310,2372.71,4591500
ANAB,29-Apr-2020,16.11,16.11,15.36,15.94,391200
ANAT,29-Apr-2020,79.91,83.12,79.27,82.35,38700
ANCN,29-Apr-2020,0.77,0.9,0.77,0.9,51300
ANDA,29-Apr-2020,10.19,10.19,10.19,10.19,200
ANDAR,29-Apr-2020,0.16,0.16,0.11,0.11,27400
ANDAU,29-Apr-2020,10.2,10.2,10.2,10.2,0
ANDAW,29-Apr-2020,0.1,0.1,0.1,0.1,172000
ANDE,29-Apr-2020,17.58,18.73,17.1572,18.49,195100
ANGI,29-Apr-2020,6.68,7.045,6.655,6.8,3286300
ANGL,29-Apr-2020,26.78,27.08,26.74,27.07,1353800
ANGO,29-Apr-2020,10.42,11.12,9.89,10.99,232400
ANIK,29-Apr-2020,34.21,36.03,33.38,35.84,154300
ANIP,29-Apr-2020,44.84,44.84,40.7,42,299400
ANIX,29-Apr-2020,1.99,2.03,1.97,1.9999,59800
ANPC,29-Apr-2020,7.8,7.801,7.5,7.7,6300
ANSS,29-Apr-2020,260.62,266.53,258.13,265.84,648600
ANTE,29-Apr-2020,0.76,0.78,0.73,0.75,3400
ANY,29-Apr-2020,0.88,0.96,0.867,0.92,23100
AOSL,29-Apr-2020,11.16,12.38,11.16,12.35,176800
APDN,29-Apr-2020,6.56,6.7201,6.15,6.19,319400
APEI,29-Apr-2020,25.58,26.07,24.73,25.74,75300
APEN,29-Apr-2020,1.96,2.54,1.919,2.35,22700
APEX,29-Apr-2020,0.56,0.61,0.56,0.5601,122700
APLS,29-Apr-2020,37.28,37.28,35.57,35.75,631800
APLT,29-Apr-2020,38.67,40.38,37.02,38.88,158400
APM,29-Apr-2020,3.52,3.89,3.44,3.63,47300
APOG,29-Apr-2020,21.23,22.19,21.1,21.38,455600
APOP,29-Apr-2020,2.53,2.59,2.3908,2.52,94400
APOPW,29-Apr-2020,0.109,0.109,0.0995,0.0995,5200
APPF,29-Apr-2020,104.04,110.785,102.64,109.79,301600
APPN,29-Apr-2020,44.5,46.75,43.5,46.32,993000
APPS,29-Apr-2020,6.24,6.54,6.07,6.37,3418700
APRE,29-Apr-2020,34,34.4,32.11,33.2,46400
APTO,29-Apr-2020,7.38,7.775,7.2,7.36,1057000
APTX,29-Apr-2020,2.77,3,2.61,2.94,381800
APVO,29-Apr-2020,4.84,5.3039,4.55,4.9,153400
APWC,29-Apr-2020,1.04,1.05,1,1.03,5700
APXT,29-Apr-2020,9.8,9.8,9.8,9.8,150000
APXTU,29-Apr-2020,10.29,10.29,10.29,10.29,300
APXTW,29-Apr-2020,1,1,1,1,0
APYX,29-Apr-2020,3.49,3.86,3.4326,3.73,104000
AQB,29-Apr-2020,1.7,1.81,1.69,1.77,68600
AQMS,29-Apr-2020,0.59,0.63,0.57,0.6046,263900
AQST,29-Apr-2020,4.5,4.79,4.29,4.75,840300
ARAV,29-Apr-2020,12.95,13.36,12.34,12.64,209300
ARAY,29-Apr-2020,2.45,2.45,2.13,2.4,1697400
ARCB,29-Apr-2020,21.01,22.2,20.8275,21.66,304300
ARCC,29-Apr-2020,12.7,13.09,12.68,13.01,3668400
ARCE,29-Apr-2020,49.88,53.795,48.61,51.61,201800
ARCT,29-Apr-2020,28.51,32.98,27.4001,32.92,1044400
ARDS,29-Apr-2020,6.39,6.39,5.89,5.92,1300
ARDX,29-Apr-2020,7.61,7.8,7.5,7.66,556700
AREC,29-Apr-2020,0.91,0.914,0.842,0.91,50900
ARGX,29-Apr-2020,146.39,149.6,146.33,149.14,118900
ARKR,29-Apr-2020,11.25,12.6699,10.5102,11.75,9600
ARLP,29-Apr-2020,3.4,4,3.37,3.76,1471900
ARNA,29-Apr-2020,51.06,51.67,49.78,50.97,424100
AROW,29-Apr-2020,29.88,31.48,29.2389,30.35,44800
ARPO,29-Apr-2020,0.76,0.7834,0.691,0.7199,245400
ARQT,29-Apr-2020,29.95,31.6,28.25,29.6,113200
ARTL,29-Apr-2020,1.14,1.25,1.14,1.2499,35200
ARTLW,29-Apr-2020,0.0507,0.0507,0.0507,0.0507,0
ARTNA,29-Apr-2020,35.84,36.84,34.98,36.04,38500
ARTW,29-Apr-2020,1.96,1.97,1.88,1.88,2600
ARVN,29-Apr-2020,55.97,58,53.6,54.03,490900
ARWR,29-Apr-2020,38.34,38.38,36.36,36.53,929800
ARYA,29-Apr-2020,11,11.01,10.68,10.74,140600
ARYAU,29-Apr-2020,11.5,11.5,11.5,11.5,1300
ARYAW,29-Apr-2020,1.65,1.9,1.6,1.89,15300
ASET,29-Apr-2020,25.4,25.4,25.365,25.365,2300
ASFI,29-Apr-2020,11.39,11.4,11.36,11.36,1800
