Symbol,Date,Open,High,Low,Close,Volume
AACG,09-Mar-2020,1.0001,1.035,0.97,0.97,23600
AAL,09-Mar-2020,14.87,15.79,14.46,14.75,42558000
AAME,09-Mar-2020,2.3153,2.61,2.3153,2.55,2600
AAOI,09-Mar-2020,8.07,8.27,7.5879,7.72,1214700
AAON,09-Mar-2020,55.53,55.76,50.56,51.68,420500
AAPL,09-Mar-2020,263.75,278.09,263,266.17,71686200
AAWW,09-Mar-2020,21.77,22.56,20.26,20.83,1148400
AAXJ,09-Mar-2020,63.95,65.75,63.94,64.79,2761200
AAXN,09-Mar-2020,69.17,70.52,62.66,66.11,1024300
ABCB,09-Mar-2020,29.63,30,27.07,27.08,409400
ABEO,09-Mar-2020,2.5,2.555,2.23,2.36,1507000
ABIO,09-Mar-2020,4,4,3.38,3.39,32000
ABMD,09-Mar-2020,148.5,159.05,147.07,156.37,1039900
ABTX,09-Mar-2020,27.77,30.344,26.58,26.76,147400
ABUS,09-Mar-2020,2.84,2.9,2.66,2.76,255100
ACAD,09-Mar-2020,39,40.11,37.69,39.32,1200400
ACAM,09-Mar-2020,10.1,10.1,10.1,10.1,0
ACAMU,09-Mar-2020,10.34,10.34,10.34,10.34,0
ACAMW,09-Mar-2020,0.83,0.83,0.83,0.83,400
ACBI,09-Mar-2020,15.85,15.85,14.7201,14.9,90100
ACER,09-Mar-2020,3.25,3.35,3.12,3.15,49700
ACGL,09-Mar-2020,37.6,38.415,36.115,36.65,1661900
ACGLO,09-Mar-2020,25.4,25.636,25.21,25.34,36000
ACGLP,09-Mar-2020,25,25.1,24.77,24.93,78300
ACHC,09-Mar-2020,27.46,28.17,26.55,26.78,1148200
ACHV,09-Mar-2020,0.46,0.464,0.4005,0.4254,590500
ACIA,09-Mar-2020,64.04,64.145,62.01,62.78,1438800
ACIU,09-Mar-2020,6.3,6.37,5.12,5.94,136800
ACIW,09-Mar-2020,27.2,30.15,26.78,28.94,1443800
ACLS,09-Mar-2020,21.59,22.85,21.1405,21.85,334600
ACMR,09-Mar-2020,28.26,29.305,27,27.01,565600
ACNB,09-Mar-2020,29.4,30.6899,27.74,28.06,16000
ACOR,09-Mar-2020,1.09,1.12,1.03,1.04,1260900
ACRS,09-Mar-2020,1.04,1.092,0.98,0.9903,355600
