Symbol,Date,Open,High,Low,Close,Volume
AACG,27-Mar-2020,1.02,1.02,0.9501,0.964,4200
AAL,27-Mar-2020,14.98,15.22,13.91,14.04,50783400
AAME,27-Mar-2020,2.25,2.25,2.2092,2.25,500
AAOI,27-Mar-2020,6.76,8.04,6.3201,7.48,1426000
AAON,27-Mar-2020,46.69,47.97,45.13,46.26,228600
AAPL,27-Mar-2020,252.75,255.87,247.05,247.74,51054100
AAWW,27-Mar-2020,23.06,23.73,21.99,22.17,769700
AAXJ,27-Mar-2020,58.33,59.18,58.02,58.29,1237100
AAXN,27-Mar-2020,73.08,77.23,71.87,74.41,824600
ABCB,27-Mar-2020,21.86,23.35,21.4,22.52,466600
ABEO,27-Mar-2020,2.06,2.2,1.94,2.06,859300
ABIO,27-Mar-2020,2.71,2.785,2.55,2.63,7100
ABMD,27-Mar-2020,146.35,146.52,141.62,145.24,500800
ABTX,27-Mar-2020,24.45,25.86,23.445,23.69,106700
ABUS,27-Mar-2020,2,2,1.12,1.21,8028600
ACAD,27-Mar-2020,38.61,40.45,37.74,38.83,1069400
ACAM,27-Mar-2020,9.9,10.5,9.9,9.94,33000
ACAMU,27-Mar-2020,9.98,9.98,9.9,9.9,700
ACAMW,27-Mar-2020,0.4501,0.503,0.4501,0.4501,18000
ACBI,27-Mar-2020,11.5,12.07,11.15,11.67,73200
ACER,27-Mar-2020,2.24,2.24,1.81,1.85,96500
ACGL,27-Mar-2020,28.22,30.18,28.1,29.07,3075000
ACGLO,27-Mar-2020,22.7,22.74,21.57,22.125,57300
ACGLP,27-Mar-2020,22.9,22.9,22.11,22.35,62500
ACHC,27-Mar-2020,17.3,18.6,16.88,18.03,2089900
ACHV,27-Mar-2020,0.3,0.3149,0.2775,0.314,531600
ACIA,27-Mar-2020,66.74,67.66,66.42,67.41,592400
ACIU,27-Mar-2020,6.5,6.75,6.05,6.35,179700
ACIW,27-Mar-2020,24.1,24.51,23,23.17,688700
ACLS,27-Mar-2020,18.85,19.38,17.615,17.74,256400
ACMR,27-Mar-2020,28.1,29.25,27.4396,28.38,337000
ACNB,27-Mar-2020,28.75,28.75,25.29,25.51,27800
ACOR,27-Mar-2020,1.09,1.17,1.04,1.04,903700
ACRS,27-Mar-2020,1.15,1.15,1.1,1.13,114200
ACRX,27-Mar-2020,1.3,1.32,1.12,1.27,1068300
ACST,27-Mar-2020,0.4266,0.4266,0.3611,0.402,562000
ACT,27-Mar-2020,18.72,18.73,18.55,18.5705,7000
ACTG,27-Mar-2020,2.31,2.3552,2.215,2.25,192900
ACWI,27-Mar-2020,61.19,62.86,60.84,61.68,5637900
ACWX,27-Mar-2020,36.9,37.64,36.56,37.02,4124900
ADAP,27-Mar-2020,2.84,3.025,2.69,2.85,580100
ADBE,27-Mar-2020,311.7,314.2872,300.63,305.83,4862100
ADES,27-Mar-2020,6.75,7.06,6.38,6.78,108600
ADI,27-Mar-2020,89.26,92.63,88.26,88.67,3009900
ADIL,27-Mar-2020,1.29,1.44,1.25,1.38,81100
ADILW,27-Mar-2020,0.27,0.28,0.27,0.27,2200
ADMA,27-Mar-2020,2.97,3.225,2.86,3.07,2572300
ADMP,27-Mar-2020,0.4,0.4069,0.36,0.366,809700
ADMS,27-Mar-2020,2.79,2.81,2.55,2.67,168500
ADP,27-Mar-2020,130.36,136,128.92,131.38,2997800
ADPT,27-Mar-2020,25.42,26.45,24.53,25.38,471200
ADRE,27-Mar-2020,32.9,33.3556,32.74,33.3556,11100
ADRO,27-Mar-2020,2.66,2.6799,2.48,2.55,483200
ADSK,27-Mar-2020,155.83,156.62,140.3206,141.57,2929300
ADTN,27-Mar-2020,7.7,8.14,7.1397,8.05,588700
ADUS,27-Mar-2020,67.64,68.8,62.6601,66.76,116600
ADVM,27-Mar-2020,11.7,12.08,11.31,11.43,678300
ADXN,27-Mar-2020,7.96,8,7.5,7.5,1000
ADXS,27-Mar-2020,0.5879,0.5879,0.5403,0.559,839600
AEGN,27-Mar-2020,14.36,15.27,14.36,14.9,347400
AEHR,27-Mar-2020,1.46,1.68,1.3,1.57,90800
AEIS,27-Mar-2020,52.93,53.73,49.14,50.18,315700
AEMD,27-Mar-2020,1.54,1.65,1.4,1.65,368700
AERI,27-Mar-2020,13.08,13.68,12.7,13.05,827100
AESE,27-Mar-2020,1.94,1.96,1.76,1.95,4500
AEY,27-Mar-2020,2.32,2.5,2.25,2.48,62300
AEYE,27-Mar-2020,4.36,4.5,4.01,4.01,27100
AEZS,27-Mar-2020,0.52,0.5699,0.48,0.55,227200
AFH,27-Mar-2020,0.43,0.45,0.3639,0.3985,52000
AFIN,27-Mar-2020,6.84,7.42,6.6388,7.11,583700
