Symbol,Date,Open,High,Low,Close,Volume
AACG,01-May-2020,0.8,0.8,0.65,0.74,33000
AAL,01-May-2020,11.41,11.66,10.58,10.64,99441300
AAME,01-May-2020,1.62,1.8,1.62,1.78,900
AAOI,01-May-2020,10.38,10.66,9.92,10.11,679000
AAON,01-May-2020,46.6,46.8,44.79,45.41,228200
AAPL,01-May-2020,286.25,299,285.85,289.07,60154100
AAWW,01-May-2020,31.68,31.98,31,31.95,552300
AAXJ,01-May-2020,62.62,62.66,61.66,61.8,934600
AAXN,01-May-2020,71.4,72.93,69.05,69.52,560800
ABCB,01-May-2020,24.63,24.7,22.92,23.7,416800
ABEO,01-May-2020,2.36,2.41,2.18,2.27,1022900
ABIO,01-May-2020,3.55,3.6681,3.2,3.53,7100
ABMD,01-May-2020,190,190.04,182.2,183.49,835900
ABTX,01-May-2020,24.14,24.6,23.75,24.48,97600
ABUS,01-May-2020,1.03,1.11,1.02,1.07,625000
ACAD,01-May-2020,47.37,47.57,44.22,44.93,1186600
ACAM,01-May-2020,9.96,9.96,9.96,9.96,19900
ACAMU,01-May-2020,10.25,10.25,10.25,10.25,0
ACAMW,01-May-2020,0.5,0.5,0.5,0.5,0
ACBI,01-May-2020,12.15,12.4,11.83,12.1,88600
ACER,01-May-2020,2.46,2.5,2.14,2.28,59400
ACGL,01-May-2020,23.43,23.635,22.795,23.11,2156400
ACGLO,01-May-2020,24.88,24.94,24.62,24.94,17700
ACGLP,01-May-2020,24.12,24.28,24.01,24.27,31500
ACHC,01-May-2020,22.92,23.71,21.68,22.47,619300
ACHV,01-May-2020,0.39,0.46,0.378,0.4599,2608000
ACIA,01-May-2020,67.94,68.1,67.44,67.73,909700
ACIU,01-May-2020,6.97,6.97,6.39,6.82,60900
ACIW,01-May-2020,26.58,27.13,25.91,26.48,582200
ACLS,01-May-2020,22.72,23,21.79,22.48,358600
ACMR,01-May-2020,38.5,39.5,35.02,35.68,491400
ACNB,01-May-2020,27.31,27.31,25.4,26.77,22200
ACOR,01-May-2020,0.95,0.97,0.88,0.8924,1298500
ACRS,01-May-2020,1.3,1.3,1.21,1.24,185300
ACRX,01-May-2020,1.53,1.55,1.4,1.5,1161100
ACST,01-May-2020,0.6,0.6066,0.57,0.59,776600
ACT,01-May-2020,21.4075,21.4578,21.1738,21.1738,2100
ACTG,01-May-2020,2.48,2.52,2.4,2.45,142500
ACWI,01-May-2020,67.56,67.67,66.67,66.91,3467500
ACWX,01-May-2020,39.35,39.43,38.87,39.04,3704700
ADAP,01-May-2020,3.21,3.43,3.21,3.35,178000
ADBE,01-May-2020,347.24,350.3099,340.26,343.84,2578600
ADES,01-May-2020,7.2,7.2,6.82,7.06,116600
ADI,01-May-2020,106.37,107.29,103.23,103.64,2782400
ADIL,01-May-2020,1.56,1.56,1.34,1.3746,38000
ADILW,01-May-2020,0.19,0.19,0.19,0.19,0
ADMA,01-May-2020,2.91,3.01,2.73,3.01,2132600
ADMP,01-May-2020,0.5205,0.5298,0.455,0.487,1615900
ADMS,01-May-2020,3.15,3.2099,2.98,3.18,219400
ADP,01-May-2020,143.17,144.7,139.46,140.42,2616900
ADPT,01-May-2020,31.11,31.53,30.19,30.52,551600
ADRE,01-May-2020,35.35,35.35,34.78,34.8325,7400
ADRO,01-May-2020,2.67,2.78,2.55,2.78,408700
ADSK,01-May-2020,179.22,181.54,172.22,174.9,2061700
ADTN,01-May-2020,10,10.11,9.61,9.98,306700
ADUS,01-May-2020,79.8,80.55,78.098,80.45,121400
ADVM,01-May-2020,11.54,12.03,11.15,12,867400
ADXN,01-May-2020,7.46,7.46,7.46,7.46,0
ADXS,01-May-2020,0.67,0.67,0.62,0.65,785400
AEGN,01-May-2020,15.47,15.47,14.3,14.72,118500
AEHR,01-May-2020,1.52,1.71,1.52,1.68,48700
AEIS,01-May-2020,54.26,54.26,49.85,53.12,338900
AEMD,01-May-2020,1.41,1.43,1.36,1.43,172800
AERI,01-May-2020,14.94,15.12,13.705,14.3,778700
AESE,01-May-2020,1.85,1.9074,1.5441,1.55,89500
AEY,01-May-2020,2.34,2.45,2.25,2.3,26600
AEYE,01-May-2020,7.07,7.75,7.01,7.45,39700
AEZS,01-May-2020,0.731,0.7663,0.731,0.7351,56200
AFH,01-May-2020,0.43,0.4963,0.4112,0.4112,39000
AFIN,01-May-2020,7.42,7.62,7.03,7.35,670100
AFINP,01-May-2020,19.75,19.91,19.11,19.22,34600
AFMD,01-May-2020,2.12,2.17,1.99,2.03,799100
AFYA,01-May-2020,21.25,21.558,19.87,20.25,149800
AGBA,01-May-2020,10.19,10.19,10.19,10.19,400
AGBAW,01-May-2020,0.05,0.05,0.05,0.05,0
AGEN,01-May-2020,2.63,2.665,2.37,2.46,2725000
AGFS,01-May-2020,2.01,2.01,1.91,1.92,20900
AGFSW,01-May-2020,0.01,0.01,0.006,0.006,51600
AGIO,01-May-2020,40.47,41.25,36.41,37.01,1114300
AGLE,01-May-2020,7.52,7.97,6.85,7.5,285400
AGMH,01-May-2020,18.43,18.55,18.4,18.4,4400
AGNC,01-May-2020,12.21,12.4492,12.15,12.27,9761700
AGNCM,01-May-2020,22.39,22.645,21.93,22.32,81400
AGNCN,01-May-2020,23.02,23.42,22.72,23.03,107200
AGNCO,01-May-2020,22,22.35,22,22.22,50700
AGNCP,01-May-2020,21.06,21.49,21.06,21.45,44000
AGRX,01-May-2020,2.46,2.95,2.41,2.77,6850300
AGTC,01-May-2020,3.66,3.99,3.56,3.95,278900
AGYS,01-May-2020,19.22,19.725,17.61,18.06,217900
AGZD,01-May-2020,46.94,47.5,46.6932,46.9902,5400
AHCO,01-May-2020,15.24,16.12,14.97,16.11,62300
AHPI,01-May-2020,9.34,10,9,9.08,114600
AIA,01-May-2020,58.37,58.38,57.38,57.5,165800
AIH,01-May-2020,8.85,9.17,8.57,8.97,127600
AIHS,01-May-2020,0.38,0.38,0.36,0.361,64200
AIKI,01-May-2020,0.7025,0.75,0.67,0.733,2242000
AIMC,01-May-2020,27,27.04,24.8357,25.55,870700
AIMT,01-May-2020,16.94,17.16,15.93,16.41,950400
AINV,01-May-2020,8.63,8.64,8.36,8.55,357900
AIQ,01-May-2020,17.46,17.52,17.2,17.2737,8300
AIRG,01-May-2020,7.83,7.96,7.5339,7.91,36300
AIRR,01-May-2020,21.577,21.577,20.8501,21.0726,9000
AIRT,01-May-2020,11.73,12.18,11.6,11.6,1900
AIRTP,01-May-2020,23.19,23.1917,23.17,23.1917,300
AIRTW,01-May-2020,0.0741,0.0975,0.07,0.0704,5200
AKAM,01-May-2020,96.36,97.87,94.92,95.86,1913800
AKBA,01-May-2020,7.84,8.01,7.6,7.98,966600
AKCA,01-May-2020,16.65,16.8355,14.38,15.13,355100
AKER,01-May-2020,3.41,3.69,3.26,3.65,757300
AKRO,01-May-2020,19.51,21.99,19.51,21.09,109800
AKTS,01-May-2020,8.74,8.93,7.69,8.08,1162000
AKTX,01-May-2020,2.15,2.16,1.81,1.89,699000
ALAC,01-May-2020,10.7,10.7,10.61,10.61,124200
ALACR,01-May-2020,0.11,0.11,0.11,0.11,0
ALACW,01-May-2020,0.03,0.03,0.03,0.03,12000
ALBO,01-May-2020,22,22,20.45,21.33,65400
ALCO,01-May-2020,28.65,29.7,27.97,29.61,14000
ALDX,01-May-2020,3.03,3.08,2.67,2.79,297400
ALEC,01-May-2020,23.85,24.45,23.0106,24.18,295600
ALGN,01-May-2020,208.08,209.0248,201.01,203.26,1341800
ALGT,01-May-2020,75.71,76.275,71.58,73.83,182400
ALIM,01-May-2020,5.45,6.01,5.45,5.56,13300
ALJJ,01-May-2020,0.53,0.5433,0.451,0.453,48600
ALKS,01-May-2020,13.57,13.75,13.03,13.31,2068700
ALLK,01-May-2020,64.44,66.6698,58.03,60.16,232800
ALLO,01-May-2020,28.17,28.99,27.26,28.45,837300
ALLT,01-May-2020,10.91,10.9806,10.3345,10.79,121100
ALNA,01-May-2020,1.6,1.64,1.37,1.4899,388900
ALNY,01-May-2020,130.45,131.3697,124.95,128.97,525600
ALOT,01-May-2020,7,7.2,6.365,6.87,48900
ALPN,01-May-2020,2.95,2.95,2.715,2.8,6300
ALRM,01-May-2020,43.87,43.87,41.67,41.83,340400
ALRN,01-May-2020,0.534,0.537,0.4968,0.4987,501100
ALRS,01-May-2020,16.88,17.055,16.28,16.69,16600
ALSK,01-May-2020,2,2.055,1.9598,1.98,93000
ALT,01-May-2020,3.04,3.04,2.88,2.96,601400
ALTM,01-May-2020,0.76,0.775,0.6204,0.6518,493600
ALTR,01-May-2020,32.08,32.41,30.28,31.09,184500
ALTY,01-May-2020,10.05,10.05,9.74,9.77,6800
ALXN,01-May-2020,106.16,106.84,103.25,103.91,2305800
