Symbol,Date,Open,High,Low,Close,Volume
AACG,01-Apr-2020,0.948,1.01,0.94,0.9485,1800
AAL,01-Apr-2020,11.45,11.48,10.5,10.69,56854400
AAME,01-Apr-2020,2.11,2.15,2.11,2.15,600
AAOI,01-Apr-2020,7.34,7.488,7.18,7.32,348800
AAON,01-Apr-2020,47.11,47.93,46.08,46.88,260400
AAPL,01-Apr-2020,246.5,248.72,239.13,240.91,44054600
AAWW,01-Apr-2020,24.56,25.7,23.55,23.95,579400
AAXJ,01-Apr-2020,58.04,58.36,57.07,57.07,2005400
AAXN,01-Apr-2020,67.58,69.67,63.7,64.72,690300
ABCB,01-Apr-2020,22.43,23.09,21.75,22.54,433800
ABEO,01-Apr-2020,2,2.35,1.9,1.99,2772700
ABIO,01-Apr-2020,2.72,2.84,2.61,2.69,10900
ABMD,01-Apr-2020,140.95,147.37,140.14,144.48,765700
ABTX,01-Apr-2020,23.08,23.88,21.93,22.24,123300
ABUS,01-Apr-2020,1.01,1.08,0.96,1.06,981900
ACAD,01-Apr-2020,40.95,41.74,38.75,39.26,1330000
ACAM,01-Apr-2020,9.83,10,9.83,10,7300
ACAMU,01-Apr-2020,9.9,9.9,9.9,9.9,3000
ACAMW,01-Apr-2020,0.45,0.49,0.45,0.45,17000
ACBI,01-Apr-2020,11.55,12.19,10.47,10.59,94800
ACER,01-Apr-2020,1.87,1.89,1.7113,1.735,42300
ACGL,01-Apr-2020,27.27,27.43,25.53,26.02,1982300
ACGLO,01-Apr-2020,21.59,22,21.36,21.56,65100
ACGLP,01-Apr-2020,22.65,22.65,21.75,22.02,71800
ACHC,01-Apr-2020,16.89,17.9383,16.81,17.16,1381000
ACHV,01-Apr-2020,0.3258,0.339,0.3,0.3186,541000
ACIA,01-Apr-2020,66.72,67.52,65.3,66.7,1239400
ACIU,01-Apr-2020,6.66,7.23,6.66,7.15,257900
ACIW,01-Apr-2020,23.36,23.36,21.99,22.46,925300
ACLS,01-Apr-2020,17.75,18,17.15,17.5,266800
ACMR,01-Apr-2020,28.35,29.12,26.88,27.34,361400
ACNB,01-Apr-2020,28,28,24.7206,25.01,48000
ACOR,01-Apr-2020,0.9232,0.9525,0.79,0.7954,1495800
ACRS,01-Apr-2020,1.03,1.08,0.9601,1.04,216000
ACRX,01-Apr-2020,1.12,1.14,1.02,1.03,756000
ACST,01-Apr-2020,0.37,0.38,0.32,0.33,1041300
ACT,01-Apr-2020,18.32,18.7216,18.32,18.33,5200
ACTG,01-Apr-2020,2.16,2.3,2.1388,2.2,300900
ACWI,01-Apr-2020,60.12,60.92,59.3,59.7,4057600
ACWX,01-Apr-2020,36.43,36.7,35.85,35.85,4048600
ADAP,01-Apr-2020,2.52,2.84,2.52,2.58,194100
ADBE,01-Apr-2020,307,309.6105,298.32,301.21,3902900
ADES,01-Apr-2020,6.27,6.3429,5.64,5.73,168700
ADI,01-Apr-2020,86.04,88.11,83.67,84.09,3231900
ADIL,01-Apr-2020,1.2265,1.282,1.05,1.2,46500
