Symbol,Date,Open,High,Low,Close,Volume
AACG,25-Feb-2020,1.05,1.24,1.05,1.14,87100
AAL,25-Feb-2020,25.62,25.75,23.05,23.12,22296800
AAME,25-Feb-2020,2.32,2.45,2.25,2.4,2700
AAOI,25-Feb-2020,10.72,10.825,10.1,10.195,664400
AAON,25-Feb-2020,54.06,54.06,52.565,53.02,212100
AAPL,25-Feb-2020,300.95,302.53,286.13,288.08,57668300
AAWW,25-Feb-2020,29.01,29.06,25.5,26.26,773100
AAXJ,25-Feb-2020,70.11,70.25,68.78,68.78,1235600
AAXN,25-Feb-2020,82.82,84.22,79.14,79.51,765900
ABCB,25-Feb-2020,39.48,39.48,37.91,38,519800
ABEO,25-Feb-2020,3.94,4.07,3.7,3.89,1773600
ABIO,25-Feb-2020,4.5045,4.5045,4.14,4.14,19800
ABMD,25-Feb-2020,167,167,157.8947,158.8,681200
ABTX,25-Feb-2020,36.86,36.86,35.61,35.81,68800
ABUS,25-Feb-2020,3.02,3.08,2.9139,3,348400
ACAD,25-Feb-2020,42.48,42.9051,40.305,40.67,1186300
ACAM,25-Feb-2020,10.14,10.14,10.14,10.14,0
ACAMU,25-Feb-2020,10.32,10.32,10.32,10.32,0
ACAMW,25-Feb-2020,0.9,0.9,0.9,0.9,0
ACBI,25-Feb-2020,19.53,19.61,18.98,19.15,117500
ACER,25-Feb-2020,4.75,4.75,3.9064,4.18,176400
ACGL,25-Feb-2020,45.71,45.845,44.36,44.39,1178100
ACGLO,25-Feb-2020,26.5,26.55,25.94,25.94,46300
ACGLP,25-Feb-2020,25.43,25.55,25.13,25.25,60500
ACHC,25-Feb-2020,33.79,34.24,32.31,32.35,687400
ACHV,25-Feb-2020,0.5576,0.615,0.515,0.5175,9150700
ACIA,25-Feb-2020,68.69,68.69,68.27,68.38,529000
ACIU,25-Feb-2020,7.85,7.97,7.2,7.29,197600
ACIW,25-Feb-2020,32.33,32.34,30.805,30.84,617900
ACLS,25-Feb-2020,24.57,24.57,23.1844,23.26,340800
ACMR,25-Feb-2020,38.95,39.6424,36.07,37.5,527500
ACNB,25-Feb-2020,35,35,32.98,33.83,20500
ACOR,25-Feb-2020,1.4,1.48,1.34,1.37,1915900
ACRS,25-Feb-2020,1.42,1.468,1.31,1.37,1484100
