Symbol,Date,Open,High,Low,Close,Volume
AACG,02-Apr-2020,0.9485,0.9485,0.905,0.9245,5100
AAL,02-Apr-2020,10.61,11.03,10,10.06,65534600
AAME,02-Apr-2020,2.19,2.19,1.91,2.1,3500
AAOI,02-Apr-2020,7.34,7.8,7.19,7.69,653500
AAON,02-Apr-2020,47.16,48.7885,46.6,48.16,189800
AAPL,02-Apr-2020,240.34,245.15,236.9,244.93,41483400
AAWW,02-Apr-2020,24.51,25.08,23.05,23.5,475400
AAXJ,02-Apr-2020,58.15,59.17,58.105,59.02,1942200
AAXN,02-Apr-2020,64.99,67.29,61.23,62.64,508200
ABCB,02-Apr-2020,22.28,23.36,22.11,22.92,440200
ABEO,02-Apr-2020,2.05,2.17,1.97,2.11,1404100
ABIO,02-Apr-2020,2.73,2.82,2.665,2.82,3500
ABMD,02-Apr-2020,143.11,147.46,140.385,143.28,481100
ABTX,02-Apr-2020,21.79,23.355,21.79,23.02,84200
ABUS,02-Apr-2020,1.09,1.0984,0.99,1,528000
ACAD,02-Apr-2020,38.81,41.69,38.4527,41.68,1126900
ACAM,02-Apr-2020,10,10,10,10,125900
ACAMU,02-Apr-2020,9.9,9.9,9.9,9.9,0
ACAMW,02-Apr-2020,0.49,0.49,0.49,0.49,100
ACBI,02-Apr-2020,10.48,11.24,10.14,10.82,73500
ACER,02-Apr-2020,1.75,1.87,1.675,1.72,30900
ACGL,02-Apr-2020,25.67,27.23,25.67,26.32,2276300
ACGLO,02-Apr-2020,21.46,21.5604,20.4,21.15,32300
ACGLP,02-Apr-2020,21.8,21.96,20.5693,20.85,53000
ACHC,02-Apr-2020,17.1,18.16,16.57,17.68,1476000
ACHV,02-Apr-2020,0.32,0.33,0.3125,0.3125,354500
ACIA,02-Apr-2020,66.1,67.26,66.09,66.82,579600
ACIU,02-Apr-2020,7.08,7.7,6.82,7.58,187400
ACIW,02-Apr-2020,22.25,22.83,21.46,22.21,1068600
ACLS,02-Apr-2020,16.61,17.84,16.5207,17.27,375500
ACMR,02-Apr-2020,27.18,28.62,26.8,27.52,258700
ACNB,02-Apr-2020,25.3,27.32,24.3006,25.84,33200
ACOR,02-Apr-2020,0.83,0.9693,0.81,0.845,1110600
ACRS,02-Apr-2020,1.05,1.14,1,1.11,203400
