Symbol,Date,Open,High,Low,Close,Volume
AACG,16-Apr-2020,0.865,0.865,0.82,0.8498,8200
AAL,16-Apr-2020,11.91,12.03,11.05,11.07,83626900
AAME,16-Apr-2020,1.829,2,1.829,1.99,1700
AAOI,16-Apr-2020,8.8,9.14,8.4,8.59,750800
AAON,16-Apr-2020,46.95,47.4,45,45.52,273500
AAPL,16-Apr-2020,287.38,288.1975,282.3502,286.69,39281200
AAWW,16-Apr-2020,23.8,24.57,23.36,23.96,437800
AAXJ,16-Apr-2020,62.5,62.59,62.07,62.33,1030800
AAXN,16-Apr-2020,74.52,75,70.65,72.77,627400
ABCB,16-Apr-2020,21.89,21.89,19.75,20.19,460800
ABEO,16-Apr-2020,2.48,2.53,2.3301,2.37,1088500
ABIO,16-Apr-2020,4.55,5.45,4.45,4.86,117800
ABMD,16-Apr-2020,160.19,162.06,158.08,160.2,245900
ABTX,16-Apr-2020,22.79,23.245,20.88,21.61,134500
ABUS,16-Apr-2020,1.17,1.22,1.11,1.2,583500
ACAD,16-Apr-2020,46.08,46.95,45.13,46.55,1244300
ACAM,16-Apr-2020,9.9,9.9,9.9,9.9,950100
ACAMU,16-Apr-2020,11.02,11.02,11.02,11.02,0
ACAMW,16-Apr-2020,0.5,0.5,0.5,0.5,0
ACBI,16-Apr-2020,10.61,10.86,9.87,10.32,123800
ACER,16-Apr-2020,1.94,1.98,1.35,1.69,105900
ACGL,16-Apr-2020,27.09,27.23,26.03,26.49,3566700
ACGLO,16-Apr-2020,24.39,24.444,23.95,24.19,23100
ACGLP,16-Apr-2020,24.3,24.35,23.82,23.99,40800
ACHC,16-Apr-2020,22.65,22.94,21.66,22.44,728000
ACHV,16-Apr-2020,0.355,0.37,0.34,0.3421,429000
ACIA,16-Apr-2020,68,68.15,67.72,68,558700
ACIU,16-Apr-2020,7.25,7.69,7.17,7.64,76500
ACIW,16-Apr-2020,24.28,25.15,23.41,23.97,940900
ACLS,16-Apr-2020,22.02,22.28,20.65,20.93,424100
ACMR,16-Apr-2020,33.57,35.79,33.57,35.73,327400
ACNB,16-Apr-2020,23.66,24.35,22.0101,22.73,46000
ACOR,16-Apr-2020,1.08,1.13,1.02,1.06,592200
ACRS,16-Apr-2020,1.28,1.32,1.155,1.22,286600
ACRX,16-Apr-2020,1.29,1.3,1.21,1.28,625000
ACST,16-Apr-2020,0.4895,0.54,0.4801,0.53,2074500
ACT,16-Apr-2020,20.69,20.72,20.54,20.72,2400
ACTG,16-Apr-2020,2.41,2.45,2.38,2.4,204600
ACWI,16-Apr-2020,66.06,66.23,65.33,66.01,2940800
ACWX,16-Apr-2020,38.59,38.73,38.17,38.45,3666200
ADAP,16-Apr-2020,3.35,3.44,3.1901,3.43,197100
ADBE,16-Apr-2020,339.71,345.515,336.035,342.7,3918600
ADES,16-Apr-2020,6.73,6.73,6.24,6.31,116600
ADI,16-Apr-2020,101.52,102.34,99.11,101.83,2622000
ADIL,16-Apr-2020,1.35,1.8,1.25,1.64,1223800
ADILW,16-Apr-2020,0.3,0.3,0.2994,0.2994,1300
ADMA,16-Apr-2020,2.79,2.855,2.6633,2.7,1309400
ADMP,16-Apr-2020,0.3607,0.365,0.3406,0.355,942600
ADMS,16-Apr-2020,3.43,3.5,2.96,3.01,408400
ADP,16-Apr-2020,138.52,138.9538,134.42,136.92,1949100
ADPT,16-Apr-2020,28.1,28.75,27.62,28.26,711300
ADRE,16-Apr-2020,35.4723,35.6907,35.39,35.545,6100
ADRO,16-Apr-2020,3.16,3.25,3.08,3.22,409900
ADSK,16-Apr-2020,171.46,173.49,168.12,171,1847400
ADTN,16-Apr-2020,8.22,8.43,8.01,8.29,295600
ADUS,16-Apr-2020,76.17,77.745,74.66,75.29,130100
ADVM,16-Apr-2020,11.21,11.63,10.93,11.62,696400
ADXN,16-Apr-2020,8.23,8.23,8.23,8.23,0
ADXS,16-Apr-2020,0.66,0.66,0.62,0.63,987400
AEGN,16-Apr-2020,14.47,15.12,13.57,14.03,133400
AEHR,16-Apr-2020,1.54,1.62,1.54,1.58,30900
AEIS,16-Apr-2020,50.24,51.02,48.66,50.22,285200
AEMD,16-Apr-2020,1.54,1.7,1.43,1.54,552400
AERI,16-Apr-2020,15.44,15.52,14.6,14.73,703400
AESE,16-Apr-2020,2.48,2.48,2.2502,2.36,47500
AEY,16-Apr-2020,2.67,2.79,2.56,2.64,84200
AEYE,16-Apr-2020,5.05,5.345,4.96,5.32,62000
AEZS,16-Apr-2020,0.9,0.9,0.8,0.815,287500
AFH,16-Apr-2020,0.3775,0.399,0.3573,0.3627,107800
AFIN,16-Apr-2020,6.68,6.75,6.495,6.65,468700
AFINP,16-Apr-2020,19.35,19.5,18.85,19.29,31400
AFMD,16-Apr-2020,2.17,2.22,2.09,2.16,969900
AFYA,16-Apr-2020,18.6,19.77,18.095,19.59,504900
AGBA,16-Apr-2020,10.2,10.2,10.2,10.2,0
AGBAR,16-Apr-2020,0.1201,0.1208,0.12,0.12,7000
AGBAW,16-Apr-2020,0.0509,0.0543,0.0508,0.0508,76800
AGEN,16-Apr-2020,2.61,2.68,2.47,2.61,1605200
AGFS,16-Apr-2020,1.49,1.51,1.35,1.44,145000
AGFSW,16-Apr-2020,0.0082,0.0082,0.0055,0.0055,1400
AGIO,16-Apr-2020,42.34,43.35,41.45,43.21,506500
AGLE,16-Apr-2020,5.28,5.38,4.91,5.36,88900
AGMH,16-Apr-2020,15.21,15.37,15.02,15.35,5000
AGNC,16-Apr-2020,11.6,12.075,11.32,11.65,11217100
AGNCM,16-Apr-2020,20.84,21.28,20.45,21.1,57800
AGNCN,16-Apr-2020,21.41,21.82,20.78,21.8,99400
