Symbol,Date,Open,High,Low,Close,Volume
AACG,09-Dec-2019,1.62,1.6551,1.6164,1.6164,5300
AAL,09-Dec-2019,27.62,27.83,27.457,27.49,4532900
AAME,09-Dec-2019,1.99,2,1.7463,2,4700
AAOI,09-Dec-2019,10.36,10.45,10.19,10.32,396500
AAON,09-Dec-2019,50.14,50.65,49.33,49.42,199100
AAPL,09-Dec-2019,270,270.8,264.91,266.92,32182600
AAWW,09-Dec-2019,25.89,26.6,25.86,26.52,262300
AAXJ,09-Dec-2019,70.06,70.24,69.78,69.82,355900
AAXN,09-Dec-2019,71.89,73.7,71.52,72.27,567500
ABCB,09-Dec-2019,43.14,43.53,43.03,43.34,283000
ABDC,09-Dec-2019,8.96,9.07,8.93,8.99,22600
ABEO,09-Dec-2019,3.2,3.42,2.92,2.94,3716600
ABIO,09-Dec-2019,5.35,5.6,5.24,5.34,38700
ABMD,09-Dec-2019,189.3,189.83,179.54,181.69,764000
ABTX,09-Dec-2019,36.45,36.66,36.39,36.65,93000
ABUS,09-Dec-2019,2.33,2.4,2.25,2.36,404100
ACAD,09-Dec-2019,51.13,51.4,47.875,47.93,1731800
ACAM,09-Dec-2019,9.92,9.92,9.92,9.92,300
ACAMU,09-Dec-2019,10.13,10.13,10.13,10.13,0
ACAMW,09-Dec-2019,0.67,0.67,0.67,0.67,0
ACBI,09-Dec-2019,18.73,18.9,18.68,18.76,77000
ACER,09-Dec-2019,3.75,4.1,3.71,3.77,207900
ACGL,09-Dec-2019,41.07,41.58,40.96,41.45,937800
ACGLO,09-Dec-2019,25.55,25.5996,25.51,25.55,8800
ACGLP,09-Dec-2019,25.17,25.24,25.17,25.24,21900
ACHC,09-Dec-2019,32.46,32.66,31.965,31.99,545300
ACHN,09-Dec-2019,6.19,6.235,6.17,6.21,1995000
ACHV,09-Dec-2019,1.15,1.17,0.962,1.04,3390500
ACIA,09-Dec-2019,66.56,66.99,66.56,66.91,399400
ACIU,09-Dec-2019,8.76,8.9,8.6,8.67,109600
ACIW,09-Dec-2019,36.35,36.42,36.08,36.18,885200
ACLS,09-Dec-2019,22.81,22.92,22.46,22.67,221600
ACMR,09-Dec-2019,15.53,15.53,14.48,14.67,74900
ACNB,09-Dec-2019,35.25,35.25,34.66,34.71,12500
ACOR,09-Dec-2019,1.71,1.795,1.66,1.72,1449100
ACRS,09-Dec-2019,1.66,1.88,1.66,1.79,653400
ACRX,09-Dec-2019,1.86,1.9199,1.8501,1.88,377300
ACST,09-Dec-2019,1.86,1.91,1.82,1.85,2467700
ACT,09-Dec-2019,24.89,24.89,24.8,24.804,900
ACTG,09-Dec-2019,2.9101,2.9554,2.86,2.875,67700
ACTT,09-Dec-2019,9.96,9.96,9.96,9.96,200
ACTTU,09-Dec-2019,10.48,10.48,10.48,10.48,200
ACTTW,09-Dec-2019,0.88,0.88,0.86,0.864,300
ACWI,09-Dec-2019,77.78,77.955,77.62,77.62,2199900
ACWX,09-Dec-2019,48.23,48.33,48.09,48.11,1356700
ADAP,09-Dec-2019,1.18,1.18,1.09,1.14,235600
ADBE,09-Dec-2019,308.91,310.91,306.7,307.05,2895100
ADES,09-Dec-2019,10.54,10.62,10.26,10.51,306000
ADI,09-Dec-2019,115.78,115.78,114.5101,114.62,1553200
ADIL,09-Dec-2019,1.47,1.65,1.47,1.62,51300
ADILW,09-Dec-2019,0.0885,0.1065,0.0885,0.0885,1300
ADMA,09-Dec-2019,4.3,4.39,4.1223,4.15,609300
ADMP,09-Dec-2019,0.555,0.5551,0.5203,0.53,1033000
ADMS,09-Dec-2019,6.53,6.88,6.45,6.62,426900
ADP,09-Dec-2019,169.68,170.11,168.8096,169.07,1508100
ADPT,09-Dec-2019,29.07,29.94,28.51,29.29,412600
