Symbol,Date,Open,High,Low,Close,Volume
AACG,17-Dec-2019,1.5,1.5,1.35,1.4309,4800
AAL,17-Dec-2019,27.97,28.48,27.86,28.28,5920600
AAME,17-Dec-2019,1.7999,2,1.7501,1.9,3900
AAOI,17-Dec-2019,11.2,11.45,11.1,11.24,543900
AAON,17-Dec-2019,49.26,50.39,49.17,50.19,195700
AAPL,17-Dec-2019,279.57,281.77,278.8,280.41,28575700
AAWW,17-Dec-2019,27.94,28.59,27.88,28.53,332700
AAXJ,17-Dec-2019,72.57,72.79,72.47,72.61,330100
AAXN,17-Dec-2019,72.63,72.87,71.13,71.35,713200
ABCB,17-Dec-2019,44.66,44.79,44.08,44.31,304800
ABDC,17-Dec-2019,9.17,9.2343,9.15,9.16,29000
ABEO,17-Dec-2019,4.26,4.26,3.92,4.13,731700
ABIO,17-Dec-2019,5.39,5.7,5.29,5.7,59800
ABMD,17-Dec-2019,176.3,179.455,172.5,178.93,632000
ABTX,17-Dec-2019,37.37,38,37.37,37.95,125000
ABUS,17-Dec-2019,2.24,2.323,2.16,2.26,335000
ACAD,17-Dec-2019,46.2,46.8,44.97,46.12,2162600
ACAM,17-Dec-2019,9.956,9.97,9.956,9.97,12100
ACAMU,17-Dec-2019,10.18,10.2,10.18,10.2,158600
ACAMW,17-Dec-2019,0.69,0.69,0.69,0.69,2600
ACBI,17-Dec-2019,18.97,19,18.81,18.92,72500
ACER,17-Dec-2019,4.01,4.4,3.87,4.2,250300
ACGL,17-Dec-2019,42.16,42.63,41.885,42.62,1343900
ACGLO,17-Dec-2019,25.84,25.87,25.67,25.87,26000
ACGLP,17-Dec-2019,25.3,25.46,25.285,25.46,36800
ACHC,17-Dec-2019,32.41,33.05,32.33,32.98,1046200
ACHN,17-Dec-2019,6.24,6.33,6.22,6.31,1924200
ACHV,17-Dec-2019,1,1.4,0.464,0.4875,35714900
ACIA,17-Dec-2019,67.01,67.26,66.91,67.25,455900
ACIU,17-Dec-2019,8.18,8.26,7.7244,7.78,141300
ACIW,17-Dec-2019,36.9,37.115,36.21,36.44,542500
ACLS,17-Dec-2019,23.65,23.89,23.46,23.775,265900
ACMR,17-Dec-2019,18.67,19.09,18.2441,18.69,197000
ACNB,17-Dec-2019,37.04,37.04,36.27,36.96,28700
ACOR,17-Dec-2019,1.68,1.775,1.64,1.7,1075000
ACRS,17-Dec-2019,1.87,1.88,1.7938,1.85,434600
ACRX,17-Dec-2019,2.25,2.28,2.21,2.24,865800
ACST,17-Dec-2019,2.01,2.42,1.99,2.4,9419500
ACT,17-Dec-2019,25.1765,25.21,25.15,25.1647,3000
ACTG,17-Dec-2019,2.86,2.86,2.74,2.76,112100
ACTT,17-Dec-2019,9.9698,9.97,9.9698,9.97,200
ACTTU,17-Dec-2019,10.38,10.38,10.38,10.38,300
ACTTW,17-Dec-2019,0.84,0.84,0.84,0.84,100
ACWI,17-Dec-2019,78.61,78.63,78.48,78.5,1671100
ACWX,17-Dec-2019,48.84,48.9,48.77,48.79,850200
ADAP,17-Dec-2019,1.36,1.37,1.18,1.28,658600
ADBE,17-Dec-2019,325.04,325.08,321.75,322.85,2332400
ADES,17-Dec-2019,10.57,10.64,10.35,10.52,170100
ADI,17-Dec-2019,118.91,119.41,118.07,118.82,1467400
ADIL,17-Dec-2019,2.31,2.42,2,2.16,295100
ADILW,17-Dec-2019,0.2999,0.2999,0.2999,0.2999,0
ADMA,17-Dec-2019,4.04,4.1,3.85,4.06,775900
ADMP,17-Dec-2019,0.51,0.51,0.5,0.505,593800
ADMS,17-Dec-2019,5.75,6.33,3.8,4.14,5273600
