Symbol,Date,Open,High,Low,Close,Volume
AACG,28-Feb-2020,1.06,1.07,0.95,1.0299,45900
AAL,28-Feb-2020,19.8,20.35,18.77,19.05,37166400
AAME,28-Feb-2020,2.29,2.54,2.12,2.47,1800
AAOI,28-Feb-2020,8.95,9.73,8.54,8.93,1483400
AAON,28-Feb-2020,56.24,57.71,53.62,55.01,549600
AAPL,28-Feb-2020,257.26,278.41,256.37,273.36,106721200
AAWW,28-Feb-2020,24.96,26.85,24.77,26.72,1269600
AAXJ,28-Feb-2020,66.53,68.34,66.07,68.34,5505000
AAXN,28-Feb-2020,74.67,78.11,71,77.37,1852600
ABCB,28-Feb-2020,34.51,35.1446,33.6,34.18,658100
ABEO,28-Feb-2020,3.21,3.42,3.05,3.08,2337100
ABIO,28-Feb-2020,3.26,3.74,3.26,3.74,73300
ABMD,28-Feb-2020,150,153.39,147.28,150.26,1047400
ABTX,28-Feb-2020,33.22,33.82,29.88,33.17,171900
ABUS,28-Feb-2020,2.99,3.1,2.6,2.92,691500
ACAD,28-Feb-2020,37.83,42.76,37.55,42.74,2273000
ACAM,28-Feb-2020,10.1,10.13,10.1,10.13,6800
ACAMU,28-Feb-2020,10.34,10.34,10.34,10.34,500
ACAMW,28-Feb-2020,0.9,0.9,0.9,0.9,0
ACBI,28-Feb-2020,17.74,18.35,17.715,18.13,149600
ACER,28-Feb-2020,3.39,3.4768,3.25,3.28,102300
ACGL,28-Feb-2020,41.21,41.69,39.79,40.43,2915100
ACGLO,28-Feb-2020,25.44,25.69,25.23,25.23,75600
ACGLP,28-Feb-2020,25.3,25.34,25.01,25.01,121700
ACHC,28-Feb-2020,30.55,32.58,28.13,29.6,1673300
ACHV,28-Feb-2020,0.45,0.485,0.416,0.48,1187500
ACIA,28-Feb-2020,68,68.67,67.9,68.51,794200
ACIU,28-Feb-2020,6.78,7.05,6.75,6.87,107000
ACIW,28-Feb-2020,27.47,28.32,27.065,27.87,1577900
ACLS,28-Feb-2020,21.92,23.99,21.92,23.99,410500
ACMR,28-Feb-2020,33.27,35.36,32.13,34.95,570600
ACNB,28-Feb-2020,31.99,32.83,30,30.48,39600
ACOR,28-Feb-2020,1.27,1.45,1.2534,1.44,1752900
ACRS,28-Feb-2020,1.12,1.29,1.08,1.14,845700
ACRX,28-Feb-2020,1.2,1.35,1.18,1.32,2114500
ACST,28-Feb-2020,0.4,0.4341,0.4,0.4281,1363800
ACT,28-Feb-2020,22.14,22.52,22.1,22.52,7300
ACTG,28-Feb-2020,2.415,2.415,2.3,2.3,284200
ACWI,28-Feb-2020,70.81,72.37,70.17,72.26,7472400
ACWX,28-Feb-2020,43.48,44.34,43.14,44.28,1749900
ADAP,28-Feb-2020,3.42,3.65,3.38,3.62,445100
ADBE,28-Feb-2020,324.42,345.46,324,345.12,6469100
ADES,28-Feb-2020,8,9.21,7.97,8.89,413700
ADI,28-Feb-2020,103.96,110.06,103.5,109.05,6036700
ADIL,28-Feb-2020,1.44,1.5209,1.26,1.44,42900
ADILW,28-Feb-2020,0.1305,0.1305,0.1305,0.1305,0
ADMA,28-Feb-2020,3.15,3.2,2.82,2.915,3806500
ADMP,28-Feb-2020,0.49,0.575,0.49,0.5652,781900
ADMS,28-Feb-2020,4.19,4.62,4.15,4.56,358000
ADP,28-Feb-2020,153.41,159.45,150.53,154.74,4585800
ADPT,28-Feb-2020,27.4,28.61,27.1,28.1,1362600
ADRE,28-Feb-2020,38.91,39.74,38.53,39.69,21300
ADRO,28-Feb-2020,2.58,3.08,2.55,3.05,1257400
ADSK,28-Feb-2020,176.42,191.36,175.0476,190.88,4340000
ADTN,28-Feb-2020,7.762,8.16,7.65,8.045,583300
ADUS,28-Feb-2020,83.31,83.36,74.165,76.27,574900
ADVM,28-Feb-2020,11.89,12.7,11.59,12.31,1812100
ADXN,28-Feb-2020,11.3,11.3,11.3,11.3,0
ADXS,28-Feb-2020,0.67,0.8399,0.6605,0.8102,6661600
AEGN,28-Feb-2020,18.815,19.555,17.92,18.01,179200
AEHR,28-Feb-2020,2.03,2.105,2.03,2.1,89500
AEIS,28-Feb-2020,57.06,60.73,57.045,59.475,381700
AEMD,28-Feb-2020,3.3,3.6,2.25,2.73,2890900
AERI,28-Feb-2020,16.56,17.56,16.27,17.5,1493500
AESE,28-Feb-2020,2.25,2.5061,2.25,2.4224,30700
AEY,28-Feb-2020,4,4.54,3.55,4.5,760100
AEYE,28-Feb-2020,4.006,4.05,3.7675,3.96,33300
AEZS,28-Feb-2020,0.81,0.8549,0.77,0.8,502100
AFH,28-Feb-2020,0.5565,0.5995,0.51,0.5602,87400
AFIN,28-Feb-2020,10,10.82,9.4,10.4,1018100
AFINP,28-Feb-2020,25.05,25.07,24.54,24.93,92500
AFMD,28-Feb-2020,2.23,2.425,2.21,2.36,600700
AFYA,28-Feb-2020,24.36,24.63,22.97,23.78,1021300
AGBA,28-Feb-2020,10.13,10.13,10.13,10.13,0
AGBAR,28-Feb-2020,0.18,0.18,0.18,0.18,0
AGBAW,28-Feb-2020,0.0701,0.0701,0.0701,0.0701,0
AGEN,28-Feb-2020,2.61,2.65,2.47,2.53,3217500
AGFS,28-Feb-2020,1.99,2.19,1.98,2.19,77400
AGFSW,28-Feb-2020,0.0099,0.0099,0.0033,0.0098,178300
AGIO,28-Feb-2020,43.05,47.56,42.77,47.48,823500
AGLE,28-Feb-2020,6.73,6.915,6.555,6.83,115500
