Symbol,Date,Open,High,Low,Close,Volume
AACG,17-Apr-2020,0.83,0.86,0.82,0.8392,7500
AAL,17-Apr-2020,11.87,11.945,11.5,11.57,61279400
AAME,17-Apr-2020,1.99,1.99,1.93,1.93,600
AAOI,17-Apr-2020,8.78,8.8547,8.34,8.44,620800
AAON,17-Apr-2020,46.53,48.175,45.63,47.85,268800
AAPL,17-Apr-2020,284.69,286.945,276.86,282.8,53812400
AAWW,17-Apr-2020,24.83,25.91,24.26,24.72,549000
AAXJ,17-Apr-2020,63.85,63.94,63.253,63.7,936500
AAXN,17-Apr-2020,75.85,77.23,75.1,76.72,543900
ABCB,17-Apr-2020,21.32,23.13,21.32,22.56,579400
ABEO,17-Apr-2020,2.46,2.49,2.29,2.33,911900
ABIO,17-Apr-2020,5.35,5.35,4.2552,4.59,58500
ABMD,17-Apr-2020,162.82,166.52,161.5,166.02,497000
ABTX,17-Apr-2020,22.36,23.38,22.36,23.15,81200
ABUS,17-Apr-2020,1.21,1.25,1.16,1.19,442900
ACAD,17-Apr-2020,47.52,48.97,46.43,48.9,1313600
ACAM,17-Apr-2020,9.94,9.94,9.94,9.94,850400
ACAMU,17-Apr-2020,10.25,10.25,10.25,10.25,800
ACAMW,17-Apr-2020,0.5,0.5,0.5,0.5,0
ACBI,17-Apr-2020,10.61,11.46,10.08,11.33,60700
ACER,17-Apr-2020,1.8,2.11,1.7,2.08,104500
ACGL,17-Apr-2020,27.59,28.04,26.725,27.15,2150100
ACGLO,17-Apr-2020,24.7,24.75,24.25,24.75,30600
ACGLP,17-Apr-2020,24,24.5,23.77,24.46,79000
ACHC,17-Apr-2020,23.64,24.06,23.18,23.74,664000
ACHV,17-Apr-2020,0.35,0.36,0.34,0.35,359900
ACIA,17-Apr-2020,68,68.7,67.935,68.5,517700
ACIU,17-Apr-2020,7.8,7.89,7.53,7.85,109100
ACIW,17-Apr-2020,24.75,26.13,24.75,26.01,1499300
ACLS,17-Apr-2020,21.56,21.62,21.12,21.47,384100
ACMR,17-Apr-2020,36.5,38.02,35.58,36.07,318900
ACNB,17-Apr-2020,23.57,24.7399,23.18,23.81,30400
ACOR,17-Apr-2020,1.1,1.13,1.06,1.06,571400
ACRS,17-Apr-2020,1.22,1.26,1.17,1.2,202000
ACRX,17-Apr-2020,1.35,1.43,1.28,1.39,1188900
ACST,17-Apr-2020,0.5489,0.6999,0.545,0.647,7947200
ACT,17-Apr-2020,21.08,21.1,20.8901,21.045,2000
ACTG,17-Apr-2020,2.38,2.5,2.37,2.43,185900
ACWI,17-Apr-2020,67.59,67.88,66.9,67.81,5653600
ACWX,17-Apr-2020,39.47,39.48,39.05,39.41,2562400
ADAP,17-Apr-2020,3.59,3.6374,3.38,3.47,198000
ADBE,17-Apr-2020,350.09,350.38,340.5,344.11,3342400
ADES,17-Apr-2020,6.55,6.98,6.55,6.66,125100
ADI,17-Apr-2020,103.96,104.73,101.385,102.8,1917000
ADIL,17-Apr-2020,1.65,1.65,1.5,1.5544,89300
ADILW,17-Apr-2020,0.2994,0.2994,0.2994,0.2994,0
ADMA,17-Apr-2020,2.83,2.83,2.68,2.69,1152100
ADMP,17-Apr-2020,0.36,0.36,0.33,0.35,1027500
ADMS,17-Apr-2020,3.11,3.5,3.08,3.44,383100
ADP,17-Apr-2020,141.51,142.12,138.7,141.08,3179500
ADPT,17-Apr-2020,28.98,29,27.52,27.98,740500
ADRE,17-Apr-2020,36.035,36.1582,35.82,36,13300
ADRO,17-Apr-2020,3.4,3.42,3.06,3.1,738300
ADSK,17-Apr-2020,176.08,182,173.97,180.94,2357700
ADTN,17-Apr-2020,9.56,10.11,9.27,9.49,732300
ADUS,17-Apr-2020,77.13,81,74.51,80.35,241600
ADVM,17-Apr-2020,11.91,12.95,11.8,12.91,1594600
ADXN,17-Apr-2020,8.5,8.5,8.5,8.5,1000
ADXS,17-Apr-2020,0.63,0.649,0.6033,0.6347,1428200
AEGN,17-Apr-2020,14.56,15.25,14.5207,15.06,180300
AEHR,17-Apr-2020,1.62,1.7345,1.6197,1.6633,58800
AEIS,17-Apr-2020,52.18,54.24,50.82,53.75,313200
AEMD,17-Apr-2020,1.55,1.69,1.53,1.58,498700
AERI,17-Apr-2020,15,15.19,14.74,15,768900
AESE,17-Apr-2020,2.5,2.5,2.1207,2.2102,22900
AEY,17-Apr-2020,2.54,2.7096,2.51,2.52,72100
AEYE,17-Apr-2020,5.38,5.86,5.06,5.7101,62000
AEZS,17-Apr-2020,0.81,0.85,0.81,0.8396,95800
AFH,17-Apr-2020,0.3465,0.359,0.33,0.3441,83400
AFIN,17-Apr-2020,6.98,7.21,6.6547,6.8,558200
AFINP,17-Apr-2020,20.01,20.34,19.2,19.79,35700
AFMD,17-Apr-2020,2.22,2.35,2.16,2.3,939500
AFYA,17-Apr-2020,20.15,20.8,18.23,18.62,431900
AGBA,17-Apr-2020,10.17,10.2209,10.17,10.2209,90300
AGBAR,17-Apr-2020,0.12,0.12,0.12,0.12,0
AGBAW,17-Apr-2020,0.0508,0.0508,0.0508,0.0508,0
AGEN,17-Apr-2020,2.68,2.78,2.63,2.69,1691000
AGFS,17-Apr-2020,1.52,1.74,1.5107,1.67,69800
AGFSW,17-Apr-2020,0.0055,0.008,0.0055,0.008,44900
AGIO,17-Apr-2020,44.26,45.695,43.68,45.39,926000
AGLE,17-Apr-2020,5.41,5.7449,5.18,5.66,59100
AGMH,17-Apr-2020,15.34,15.48,15.27,15.48,4600
AGNC,17-Apr-2020,12.15,12.3,11.74,12.265,13244300
AGNCM,17-Apr-2020,21.55,22.24,21.48,21.91,48400
AGNCN,17-Apr-2020,22.3,22.8,21.83,22.8,103000
AGNCO,17-Apr-2020,21.2,21.79,20.88,21.75,200800
AGNCP,17-Apr-2020,21.37,21.61,20.65,21.55,226700
AGRX,17-Apr-2020,2.25,2.27,2.11,2.23,1198300
AGTC,17-Apr-2020,4.04,4.2152,3.98,4.05,97700
AGYS,17-Apr-2020,16.51,17.35,16.4858,17.25,194100
AGZD,17-Apr-2020,46.8,47.75,46.8,47.04,6800
AHCO,17-Apr-2020,16.6,16.93,14.7,15.1,241100
AHPI,17-Apr-2020,14.48,14.49,13.61,14.2,163300
AIA,17-Apr-2020,59.59,59.68,59.16,59.45,29900
AIH,17-Apr-2020,8.74,9.25,8.6,8.74,104400
AIHS,17-Apr-2020,0.39,0.42,0.39,0.3921,45200
AIKI,17-Apr-2020,0.89,0.89,0.805,0.85,4470700
AIMC,17-Apr-2020,18.41,19.07,18.3,18.96,472500
AIMT,17-Apr-2020,15.83,16.25,15.39,16.24,1052300
AINV,17-Apr-2020,8.17,8.25,7.72,7.88,823900
AIQ,17-Apr-2020,17.36,17.4499,17.2518,17.41,11000
AIRG,17-Apr-2020,7.03,7.16,6.965,7.12,26600
AIRR,17-Apr-2020,20.5389,20.82,20.4013,20.7647,37200
AIRT,17-Apr-2020,11.74,12.9,11.74,12.75,1900
AIRTP,17-Apr-2020,20.56,20.56,20.56,20.56,0
AIRTW,17-Apr-2020,0.08,0.0802,0.07,0.07,1000
AKAM,17-Apr-2020,106.89,107.04,102.8,105.35,3013700
AKBA,17-Apr-2020,7.28,7.48,7.06,7.46,1034700
AKCA,17-Apr-2020,16.35,16.56,15.96,16.54,185800
AKER,17-Apr-2020,3.64,3.65,3.17,3.42,735200
AKRO,17-Apr-2020,21.22,21.7278,20.27,20.56,153900
AKTS,17-Apr-2020,7.72,7.95,7.35,7.56,584300
AKTX,17-Apr-2020,1.52,1.6,1.51,1.55,46700
ALAC,17-Apr-2020,10.55,10.55,10.55,10.55,0
ALACR,17-Apr-2020,0.11,0.18,0.1,0.18,118300
ALACW,17-Apr-2020,0.02,0.038,0.02,0.03,57200
ALBO,17-Apr-2020,18.39,18.6492,17.53,18.29,56100
ALCO,17-Apr-2020,26.91,28.2,26.91,28.19,16200
ALDX,17-Apr-2020,3.13,3.16,2.81,2.91,273000
ALEC,17-Apr-2020,22.61,24.47,22.6,24.28,444200
ALGN,17-Apr-2020,188.37,193.38,183.9901,193,1340500
ALGT,17-Apr-2020,77.39,77.92,73.66,74.99,195600
ALIM,17-Apr-2020,5,5.5,4.9,5.3,59600
ALJJ,17-Apr-2020,0.5897,0.6899,0.3701,0.5899,44700
ALKS,17-Apr-2020,15.94,16.54,15.83,16.36,2155100
ALLK,17-Apr-2020,61.78,64.3,58.555,63.06,301900
ALLO,17-Apr-2020,26.63,27.8,25.94,27.62,1038600
ALLT,17-Apr-2020,10.64,10.82,10.01,10.64,156800
ALNA,17-Apr-2020,1.3,1.3,1.2,1.28,122300
ALNY,17-Apr-2020,131.74,138.7,130.25,138.48,1386300
ALOT,17-Apr-2020,5.93,6.02,5.72,5.89,26300
ALPN,17-Apr-2020,3.25,3.25,3.2005,3.23,8300
ALRM,17-Apr-2020,43.5,44.97,43.451,44.77,356500
ALRN,17-Apr-2020,0.6,0.6,0.52,0.5446,383800
ALRS,17-Apr-2020,15.69,16.23,15.69,15.9,11000
ALSK,17-Apr-2020,1.88,1.95,1.84,1.9,163900
ALT,17-Apr-2020,3.5,3.5,3.29,3.32,474400
ALTM,17-Apr-2020,0.6693,0.6964,0.6242,0.6858,226800
ALTR,17-Apr-2020,29.24,30.73,29.09,30.51,321300
ALTY,17-Apr-2020,9.553,9.6532,9.49,9.561,2900
ALXN,17-Apr-2020,101.54,103.87,99.94,103.48,3952800
ALYA,17-Apr-2020,1.76,1.77,1.74,1.74,1400
AMAG,17-Apr-2020,7.2,7.52,7.02,7.48,453100
AMAL,17-Apr-2020,8.94,9.4,8.94,9.31,115900
AMAT,17-Apr-2020,53.63,53.9,52.27,53.2,9367500
AMBA,17-Apr-2020,49.33,49.95,48.2344,49.25,310300
AMCA,17-Apr-2020,24.69,25.11,24.69,25.11,1000
AMCI,17-Apr-2020,10.19,10.19,10.15,10.18,962300
AMCIU,17-Apr-2020,10.2,10.2,10.2,10.2,0
AMCIW,17-Apr-2020,0.1,0.12,0.1,0.12,84700
AMCX,17-Apr-2020,24.17,24.625,23.612,24.37,557500
AMD,17-Apr-2020,57.35,57.755,55.55,56.6,76908700
AMED,17-Apr-2020,213.96,215.5,194.02,198.57,493100
AMEH,17-Apr-2020,14.4,14.4,13.3,13.46,65200
AMGN,17-Apr-2020,236.83,236.99,229.215,234.97,2864200
AMHC,17-Apr-2020,9.65,9.65,9.65,9.65,0
AMHCU,17-Apr-2020,9.8,9.8,9.8,9.8,0
AMHCW,17-Apr-2020,0.5,0.5,0.5,0.5,0
AMKR,17-Apr-2020,9.55,9.65,9.2,9.44,1215500
AMNB,17-Apr-2020,20.96,22.47,20.96,22.07,32700
AMOT,17-Apr-2020,26.83,27.835,26.25,27.04,46900
AMPH,17-Apr-2020,16.5,16.59,16.17,16.34,187800
AMRB,17-Apr-2020,10.42,10.42,10.38,10.41,1600
AMRH,17-Apr-2020,0.9029,1.01,0.9,0.9701,35300
AMRHW,17-Apr-2020,0.0176,0.0176,0.0176,0.0176,0
AMRK,17-Apr-2020,14.03,14.29,13.32,13.32,26900
AMRN,17-Apr-2020,6.25,6.575,6.12,6.51,13134500
AMRS,17-Apr-2020,2.35,2.37,2.2,2.27,988100
AMSC,17-Apr-2020,5.53,5.75,5.34,5.53,157900
AMSF,17-Apr-2020,63.37,66.09,62.1,64.76,108600
AMSWA,17-Apr-2020,14.38,14.99,14.19,14.7,190100
AMTB,17-Apr-2020,12.64,12.87,12.15,12.49,63300
AMTBB,17-Apr-2020,9,9,8.945,9,6200
AMTD,17-Apr-2020,37.71,38.41,36.82,37.32,4892000
AMTX,17-Apr-2020,0.5985,0.5999,0.56,0.581,46500
AMWD,17-Apr-2020,43.97,48.17,43.4,45.86,296800
AMZN,17-Apr-2020,2372.33,2400,2316.02,2375,7930000
ANAB,17-Apr-2020,16.04,17,15.78,16.98,393400
ANAT,17-Apr-2020,76.62,78.7,75.1,76.85,26900
ANCN,17-Apr-2020,0.94,0.95,0.7601,0.87,77200
ANDA,17-Apr-2020,10.1519,10.1809,10.13,10.1807,5900
ANDAR,17-Apr-2020,0.1,0.13,0.08,0.1,25700
ANDAU,17-Apr-2020,10.1728,10.1728,10.1728,10.1728,0
ANDAW,17-Apr-2020,0.12,0.12,0.12,0.12,0
ANDE,17-Apr-2020,15.53,15.99,15.37,15.74,214800
ANGI,17-Apr-2020,5.65,5.88,5.62,5.85,1610500
ANGL,17-Apr-2020,27.44,27.48,27.18,27.31,792300
ANGO,17-Apr-2020,9.48,9.95,9.4418,9.93,230300
ANIK,17-Apr-2020,31.17,32.46,30.74,32.44,117700
ANIP,17-Apr-2020,44.57,45.202,42.8,43.13,49300
ANIX,17-Apr-2020,2,2,1.91,1.99,15500
ANPC,17-Apr-2020,8.3,8.46,8,8.01,6600
ANSS,17-Apr-2020,261.5,264.79,256.32,263.9,846100
ANTE,17-Apr-2020,0.75,0.76,0.74,0.7499,24500
ANY,17-Apr-2020,0.82,0.83,0.6611,0.753,195200
AOSL,17-Apr-2020,8.87,9.01,8.65,9,129300
APDN,17-Apr-2020,5.64,5.84,5.28,5.5,633600
APEI,17-Apr-2020,23.42,25.07,23.03,24.83,72200
APEN,17-Apr-2020,2.1,2.24,2.03,2.24,16700
APEX,17-Apr-2020,0.6,0.6,0.5,0.5398,96800
