Symbol,Date,Open,High,Low,Close,Volume
AACG,16-Jul-2020,1.52,1.87,1.52,1.7,848400
AACQU,16-Jul-2020,10.35,10.4,10.33,10.37,1143800
AAL,16-Jul-2020,12.98,13.07,12.29,12.45,81513900
AAME,16-Jul-2020,1.69,1.7,1.68,1.7,1800
AAOI,16-Jul-2020,10.98,11.03,10.35,10.665,730600
AAON,16-Jul-2020,57.25,58.45,57.05,57.64,145900
AAPL,16-Jul-2020,386.25,389.62,383.62,386.09,27644400
AAWW,16-Jul-2020,48.32,49.5372,48.09,49.24,273200
AAXJ,16-Jul-2020,73.22,73.59,72.96,73.45,1207100
AAXN,16-Jul-2020,92.35,92.35,90.275,91.08,447000
ABCB,16-Jul-2020,22.27,23.12,21.98,22.35,472700
ABEO,16-Jul-2020,2.88,2.98,2.79,2.97,511100
ABIO,16-Jul-2020,6.52,6.6487,6.31,6.42,594400
ABMD,16-Jul-2020,273.55,276.795,271.22,273.04,176800
ABTX,16-Jul-2020,23.85,24.23,23.53,23.78,38400
ABUS,16-Jul-2020,1.9,2.0797,1.89,2.01,1224700
ACAD,16-Jul-2020,54.85,55,54.13,54.58,771400
ACAM,16-Jul-2020,10.32,10.39,10.3,10.35,30300
ACAMU,16-Jul-2020,10.65,10.7,10.6,10.6,28900
ACAMW,16-Jul-2020,1.04,1.21,0.95,1.0701,31300
ACBI,16-Jul-2020,11.15,11.34,11.08,11.24,35400
ACCD,16-Jul-2020,32.01,32.47,31.33,32.21,422900
ACER,16-Jul-2020,3.3,3.4,3.22,3.35,108000
ACGL,16-Jul-2020,30.18,31.275,30,30.82,1899900
ACGLO,16-Jul-2020,25.32,25.6,25.32,25.6,13400
ACGLP,16-Jul-2020,24.8,24.9,24.75,24.9,30800
ACHC,16-Jul-2020,27.66,28.1,26.34,27.725,552900
ACHV,16-Jul-2020,0.385,0.4,0.3821,0.3974,1136200
ACIA,16-Jul-2020,67.69,68.07,67.69,68,263400
ACIU,16-Jul-2020,10.82,13,8.22,8.55,44862000
ACIW,16-Jul-2020,27.16,27.21,26.55,26.85,735700
ACLS,16-Jul-2020,27.25,27.665,27.12,27.58,175100
ACMR,16-Jul-2020,75.21,79.3099,74.31,76.61,809200
ACNB,16-Jul-2020,22.965,23.7,22.965,23.34,7600
ACOR,16-Jul-2020,0.73,0.745,0.71,0.7432,2181100
ACRS,16-Jul-2020,2.03,2.14,1.96,2,343600
ACRX,16-Jul-2020,1.09,1.1,1.05,1.07,1121300
ACST,16-Jul-2020,0.69,0.7,0.6641,0.68,839800
ACT,16-Jul-2020,23.73,23.76,23.73,23.76,700
ACTG,16-Jul-2020,4.09,4.17,4.0401,4.09,222600
ACWI,16-Jul-2020,76.8,77.08,76.67,76.99,4876600
ACWX,16-Jul-2020,45.06,45.28,45.04,45.18,1366600
ADAP,16-Jul-2020,8.64,8.7048,8.33,8.54,526500
ADBE,16-Jul-2020,428.43,430.59,418.505,426.29,2678000
ADES,16-Jul-2020,4.81,4.94,4.76,4.86,100400
ADI,16-Jul-2020,116.72,116.9,114.91,115.98,4183000
ADIL,16-Jul-2020,1.36,1.43,1.33,1.4,91900
ADILW,16-Jul-2020,0.4,0.4,0.2501,0.2501,1300
ADMA,16-Jul-2020,2.88,3.12,2.85,3.09,3200200
ADMP,16-Jul-2020,0.68,0.83,0.6602,0.7527,17771600
ADMS,16-Jul-2020,2.66,2.74,2.5801,2.73,166700
ADP,16-Jul-2020,147.34,147.66,145.38,146.18,1199700
ADPT,16-Jul-2020,40.25,40.53,38.77,39.85,7170100
ADRE,16-Jul-2020,42.73,43.0555,42.73,43.0555,6100
ADRO,16-Jul-2020,2.83,2.83,2.75,2.8,197600
ADSK,16-Jul-2020,233.86,235.385,229.25,234.03,1029200
ADTN,16-Jul-2020,11.26,11.27,10.9805,11.07,209700
ADTX,16-Jul-2020,3.14,3.52,3.12,3.48,268300
ADUS,16-Jul-2020,92,92.06,88.055,88.63,108800
ADVM,16-Jul-2020,17.91,17.99,17.3,17.53,1448900
ADXN,16-Jul-2020,9,9,8.52,8.5201,800
ADXS,16-Jul-2020,0.54,0.55,0.525,0.5419,560400
AEGN,16-Jul-2020,16.18,16.38,15.81,16.02,134600
AEHR,16-Jul-2020,2.06,2.49,2.032,2.44,974300
AEIS,16-Jul-2020,69.89,70.7,68.83,70.09,253000
AEMD,16-Jul-2020,1.83,2.11,1.78,2.03,1650000
AERI,16-Jul-2020,13.58,14.01,13.43,13.98,405600
AESE,16-Jul-2020,2.1,2.22,2,2.14,137700
AEY,16-Jul-2020,2.59,2.7,2.53,2.62,311000
AEYE,16-Jul-2020,14.12,14.12,13.2124,13.8,50600
AEZS,16-Jul-2020,0.42,0.5248,0.412,0.49,11685200
AFH,16-Jul-2020,0.507,0.574,0.5,0.574,764700
AFIN,16-Jul-2020,7.38,7.54,7.25,7.3,420500
AFINP,16-Jul-2020,22.01,22.3,22.01,22.15,22400
AFMD,16-Jul-2020,4.56,4.61,4.385,4.51,1615800
AFYA,16-Jul-2020,22.62,23.005,22.3,22.48,128500
AGBA,16-Jul-2020,10.3,10.3,10.3,10.3,200
AGBAR,16-Jul-2020,0.3499,0.3499,0.3499,0.3499,400
AGBAW,16-Jul-2020,0.2903,0.55,0.2903,0.4105,3100
AGEN,16-Jul-2020,3.64,3.64,3.425,3.55,2310000
AGFS,16-Jul-2020,2.43,2.43,2.26,2.27,92500
AGFSW,16-Jul-2020,0.015,0.02,0.015,0.015,39300
AGIO,16-Jul-2020,51.65,52.19,50.56,51.87,379700
AGLE,16-Jul-2020,8.05,8.11,7.74,7.97,126200
AGMH,16-Jul-2020,16.03,16.2401,15.765,15.86,2900
AGNC,16-Jul-2020,13.4,13.58,13.28,13.425,7095200
AGNCM,16-Jul-2020,22.01,22.31,21.98,22.24,48500
AGNCN,16-Jul-2020,22.71,22.95,22.69,22.8,38800
AGNCO,16-Jul-2020,22,22.29,21.946,22.17,16400
AGNCP,16-Jul-2020,21.34,21.62,21.29,21.55,139100
AGRX,16-Jul-2020,2.53,2.58,2.46,2.56,724800
AGTC,16-Jul-2020,5.72,5.735,5.43,5.55,273300
AGYS,16-Jul-2020,17.55,17.55,16.97,17.09,180200
AGZD,16-Jul-2020,47.2865,47.2999,47.1752,47.2426,2000
AHCO,16-Jul-2020,18.87,19.12,18.76,19,446000
AHPI,16-Jul-2020,9.93,12.25,9.91,11.19,1498600
AIA,16-Jul-2020,67.8,68.2399,67.66,68.16,55000
AIH,16-Jul-2020,5.87,5.89,5.31,5.38,43300
AIHS,16-Jul-2020,0.93,1.04,0.8778,0.915,1345600
AIKI,16-Jul-2020,0.91,1.05,0.8631,0.94,14318200
AIMC,16-Jul-2020,34.06,34.06,33.2,33.54,233800
AIMT,16-Jul-2020,16.7,16.76,16.02,16.33,695100
AINV,16-Jul-2020,9.57,9.79,9.51,9.64,488800
AIQ,16-Jul-2020,21.4,21.47,21.18,21.41,20500
AIRG,16-Jul-2020,10.46,10.66,10.36,10.48,69800
AIRR,16-Jul-2020,24.22,24.4897,24.1888,24.3586,900
AIRT,16-Jul-2020,11.35,11.61,11.35,11.5,800
AIRTW,16-Jul-2020,0.051,0.0595,0.05,0.0591,23300
AKAM,16-Jul-2020,110.32,112.2,110.32,111.66,1369100
AKBA,16-Jul-2020,12.27,12.312,11.9,12.28,641700
AKCA,16-Jul-2020,12.7,12.84,12.3,12.7,179700
AKER,16-Jul-2020,3.89,4.49,3.81,4.29,1474700
